drucksache;datum_anfrage;datum_drucksache;titel;urheber;fraktionen;fragen;einzelfragen;seiten;format_erkannt;beantwortet;vorgang;datei
22/11;2020-03-18;2020-03-24;Kleine Waffenscheine in Hamburg (II);Dirk Nockemann;AfD;8;8;2;True;True;63852;22_00011_kleine_waffenscheine_in_hamburg_ii.md
22/12;2020-03-18;2020-03-24;Salafisten im Fokus - ein Querschnitt der Hamburger Szene (Januar/Februar 2020);Dirk Nockemann;AfD;10;11;3;True;True;63853;22_00012_salafisten_im_fokus_ein_querschnitt_der_hamburger_szene_januar_februar_2020.md
22/13;2020-03-18;2020-03-24;Scharfe Schusswaffen in Hamburg (II);Dirk Nockemann;AfD;15;15;3;True;True;63854;22_00013_scharfe_schusswaffen_in_hamburg_ii.md
22/14;2020-03-18;2020-03-24;Islamische Gefängnisseelsorge und Maßnahmen gegen die Radikalisierung muslimischer Gefangener mit Extremismusbezügen;Dirk Nockemann;AfD;10;34;4;True;True;63855;22_00014_islamische_gefaengnisseelsorge_und_massnahmen_gegen_die_radikalisierung_muslimischer_gefangener_mit_e.md
22/21;2020-03-19;2020-03-27;Wirtschaftliche Beziehungen zwischen Hamburg und Indien;Detlef Ehlebracht;AfD;9;10;3;True;True;63856;22_00021_wirtschaftliche_beziehungen_zwischen_hamburg_und_indien.md
22/22;2020-03-19;2020-03-27;Das Coronavirus und der Fußball in Hamburg;Detlef Ehlebracht;AfD;4;4;2;True;True;63857;22_00022_das_coronavirus_und_der_fussball_in_hamburg.md
22/23;2020-03-19;2020-03-27;Active-City-App – der aktuelle Stand;Detlef Ehlebracht;AfD;4;4;2;True;True;63864;22_00023_active_city_app_der_aktuelle_stand.md
22/24;2020-03-19;2020-03-27;Blockchain-Technologie;Detlef Ehlebracht;AfD;5;6;2;True;True;63863;22_00024_blockchain_technologie.md
22/25;2020-03-19;2020-03-27;Hamburg Box;Detlef Ehlebracht;AfD;5;6;2;True;True;63862;22_00025_hamburg_box.md
22/26;2020-03-19;2020-03-27;E-Fuels;Detlef Ehlebracht;AfD;4;5;2;True;True;63861;22_00026_e_fuels.md
22/27;2020-03-19;2020-03-27;Containermangel am Hamburger Hafen;Detlef Ehlebracht;AfD;4;4;1;True;True;63860;22_00027_containermangel_am_hamburger_hafen.md
22/28;2020-03-19;2020-03-27;Massenschlägerei auf U-Bahn-Station Dehnhaide;Dirk Nockemann;AfD;12;12;2;True;True;63859;22_00028_massenschlaegerei_auf_u_bahn_station_dehnhaide.md
22/35;2020-03-19;2020-03-27;Flugreisende aus dem Iran;Dirk Nockemann;AfD;4;4;2;True;True;63858;22_00035_flugreisende_aus_dem_iran.md
22/40;2020-03-25;2020-03-31;Hamburgs Bemühungen in der Erforschung von SARS-CoV-2;Thomas Reich;AfD;15;19;7;True;True;63889;22_00040_hamburgs_bemuehungen_in_der_erforschung_von_sars_cov_2.md
22/41;2020-03-26;2020-04-02;Recht auf Schulwahl für Eltern von Kindern mit einer Behinderung Klasse 1 für das Schuljahr 2020/2021;Sabine Boeddinghaus;Die Linke;6;6;3;True;True;63890;22_00041_recht_auf_schulwahl_fuer_eltern_von_kindern_mit_einer_behinderung_klasse_1_fuer_das_schuljahr_2020_20.md
22/38;2020-03-27;2020-03-27;Verstärkter Männerüberschuss durch Flüchtlingszuwanderung (2);Dr. Alexander Wolf;AfD;1;1;1;True;True;63869;22_00038_verstaerkter_maennerueberschuss_durch_fluechtlingszuwanderung_2.md
22/39;2020-03-27;2020-03-27;Erneute Nutzung des Reservestandortes „Neuer Höltigbaum“ zur Unterbringung von Asylbewerbern?;Dr. Alexander Wolf;AfD;3;3;2;True;True;63871;22_00039_erneute_nutzung_des_reservestandortes_neuer_hoeltigbaum_zur_unterbringung_von_asylbewerbern.md
22/51;2020-03-30;2020-04-07;Deutschland vollzieht Handelsembargo gegen die Schweiz;Dirk Nockemann;AfD;4;4;2;True;True;63897;22_00051_deutschland_vollzieht_handelsembargo_gegen_die_schweiz.md
22/52;2020-03-31;2020-03-07;Treffpunkt Drob Inn am Besenbinderhof;Dirk Nockemann;AfD;6;6;2;True;True;63931;22_00052_treffpunkt_drob_inn_am_besenbinderhof.md
22/53;2020-03-31;2020-04-07;Abbau des Lampedusa-Zeltes und Unterbindung von Protesten;"Deniz Celik; Dr. Carola Ensslen";Die Linke;16;17;6;True;True;63930;22_00053_abbau_des_lampedusa_zeltes_und_unterbindung_von_protesten.md
22/49;2020-04-03;2020-04-09;Überlastung des Justizapparates, hier insbesondere die Sozialgerichtsbarkeit;Dirk Nockemann;AfD;6;6;4;True;True;63904;22_00049_ueberlastung_des_justizapparates_hier_insbesondere_die_sozialgerichtsbarkeit.md
22/60;2020-04-03;2020-04-09;Ist durch „Freiwilligen-Rekrutierung“ ausreichend qualifiziertes Fachpersonal für die medizinische und pflegerische Versorgung von COVID-19-Patienten zu beschaffen und welche Fallzahlen gibt es in den sogenannten systemrelevanten Berufsfeldern?;Thomas Reich;AfD;5;6;2;True;True;63905;22_00060_ist_durch_freiwilligen_rekrutierung_ausreichend_qualifiziertes_fachpersonal_fuer_die_medizinische_und.md
22/61;2020-04-03;2020-04-09;Beschaffung von Schutzausrüstung in Hamburg;Thomas Reich;AfD;5;7;2;True;True;63906;22_00061_beschaffung_von_schutzausruestung_in_hamburg.md
22/67;2020-04-06;2020-04-14;Unterricht an Hamburger Schulen in Zeiten der Corona-Krise: Wie will der Senat vorerkrankte Schüler und Lehrer schützen?;Dr. Alexander Wolf;AfD;6;7;2;True;True;63907;22_00067_unterricht_an_hamburger_schulen_in_zeiten_der_corona_krise_wie_will_der_senat_vorerkrankte_schueler_u.md
22/68;2020-04-06;2020-04-14;Trotz Rundfunkgebühr und Millionenrücklage – „Corona“-Kurzarbeit bei hundertprozentiger NDR-Tochter „Studio Hamburg“?;Dr. Alexander Wolf;AfD;6;5;2;True;True;63908;22_00068_trotz_rundfunkgebuehr_und_millionenruecklage_corona_kurzarbeit_bei_hundertprozentiger_ndr_tochter_stu.md
22/69;2020-04-06;2020-04-14;Quarantäneanordnungen für Flugreisende;Dirk Nockemann;AfD;6;6;2;True;True;63909;22_00069_quarantaeneanordnungen_fuer_flugreisende.md
22/70;2020-04-06;2020-04-14;Corona: Wird es zu der Absage von Ramadan-Veranstaltungen in Hamburg kommen?;Dirk Nockemann;AfD;2;2;2;True;True;63910;22_00070_corona_wird_es_zu_der_absage_von_ramadan_veranstaltungen_in_hamburg_kommen.md
22/74;2020-04-07;2020-04-14;Kein Anschluss unter dieser Nummer – Stilllegung des Geschäftsbetriebs des Arbeitslosen-Telefonhilfe e.V;"Dr. Carola Ensslen; Olga Fritzsche";Die Linke;4;10;5;True;True;63920;22_00074_kein_anschluss_unter_dieser_nummer_stilllegung_des_geschaeftsbetriebs_des_arbeitslosen_telefonhilfe_e.md
22/94;2020-04-15;2020-04-21;WLAN in Erstaufnahmen und Folgeunterbringung – Wie ist der aktuelle Stand? (V);Dr. Carola Ensslen;Die Linke;2;6;5;True;True;63960;22_00094_wlan_in_erstaufnahmen_und_folgeunterbringung_wie_ist_der_aktuelle_stand_v.md
22/95;2020-04-15;2020-04-21;Cum-Ex-Aufklärung in Hamburg;Norbert Hackbusch;Die Linke;3;9;2;True;True;63959;22_00095_cum_ex_aufklaerung_in_hamburg.md
22/96;2020-04-15;2020-04-21;Erfüllung der Schulwahlwünsche der Eltern von Kindern, die für die Klasse 5 im Schuljahr 2020/2021 angemeldet wurden;Sabine Boeddinghaus;Die Linke;9;14;3;True;True;63958;22_00096_erfuellung_der_schulwahlwuensche_der_eltern_von_kindern_die_fuer_die_klasse_5_im_schuljahr_2020_2021_.md
22/97;2020-04-16;2020-04-24;Corona: Medizinische Versorgung von Menschen ohne Papiere;"Dr. Stephanie Rose; Deniz Celik";Die Linke;11;12;6;True;True;63957;22_00097_corona_medizinische_versorgung_von_menschen_ohne_papiere.md
22/98;2020-04-16;2020-04-24;Teilhabe am arbeitsweltlichen Kontext für Menschen mit Behinderungen – Wie ist der Stand zu Corona-Zeiten in den WfbM und bei anderen Leistungsanbietern/-innen, die einmal Sonstige Beschäftigungsstätten waren?;Cansu Özdemir;Die Linke;7;16;3;True;True;63971;22_00098_teilhabe_am_arbeitsweltlichen_kontext_fuer_menschen_mit_behinderungen_wie_ist_der_stand_zu_corona_zei.md
22/99;2020-04-16;2020-04-24;COVID-19 Ausbruch im UKE;Deniz Celik;Die Linke;14;15;5;True;True;63956;22_00099_covid_19_ausbruch_im_uke.md
22/100;2020-04-17;2020-04-24;Wie groß ist der Behandlungsstau, den die Kapazitätsumschichtungen zur Corona-Bekämpfung im UKE und anderen Krankenhäusern Hamburgs bisher verursacht haben? Und wie frei sind die Kliniken in der Einsatzplanung ihrer Intensivkapazitäten?;Thomas Reich;AfD;9;15;4;True;True;63955;22_00100_wie_gross_ist_der_behandlungsstau_den_die_kapazitaetsumschichtungen_zur_corona_bekaempfung_im_uke_und.md
