drucksache;datum_anfrage;datum_drucksache;titel;urheber;fraktionen;fragen;einzelfragen;seiten;format_erkannt;beantwortet;vorgang;datei
22/101;2020-04-17;2020-04-24;Wie reagiert der Hamburger Senat in Zeiten der Corona-Krise auf die zunehmenden Fallzahlen in stationären Einrichtungen der Altenpflege?;Thomas Reich;AfD;8;8;3;True;True;63954;22_00101_wie_reagiert_der_hamburger_senat_in_zeiten_der_corona_krise_auf_die_zunehmenden_fallzahlen_in_station.md
22/119;2020-04-22;2020-04-28;Sportplatzbau am Oberhafen;Detlef Ehlebracht;AfD;22;29;5;True;True;63970;22_00119_sportplatzbau_am_oberhafen.md
22/120;2020-04-22;2020-04-28;Veränderungen der Ampelschaltungen in Hamburg;Detlef Ehlebracht;AfD;15;32;13;True;True;63969;22_00120_veraenderungen_der_ampelschaltungen_in_hamburg.md
22/125;2020-04-22;2020-04-28;Täuschungsvorwurf gegen den Bundestagsabgeordneten Johannes Kahrs (SPD) beim Ablegen des Ersten Juristischen Staatsexamens;"Olga Petersen; Dirk Nockemann; Detlef Ehlebracht";AfD;12;14;4;True;True;63992;22_00125_taeuschungsvorwurf_gegen_den_bundestagsabgeordneten_johannes_kahrs_spd_beim_ablegen_des_ersten_jurist.md
22/126;2020-04-23;2020-04-30;Hamburg hat Platz für Kinder und Jugendliche aus griechischen Lagern!;Dr. Carola Ensslen;Die Linke;6;16;3;True;True;63974;22_00126_hamburg_hat_platz_fuer_kinder_und_jugendliche_aus_griechischen_lagern.md
22/127;2020-04-23;2020-04-30;Kita-Notbetreuung in Zeiten der Corona-Krise;Insa Tietjen;Die Linke;13;20;7;True;True;63972;22_00127_kita_notbetreuung_in_zeiten_der_corona_krise.md
22/128;2020-04-23;2020-04-30;Nachfragen zur Antwort des Senats auf die Schriftliche Kleine Anfrage Drs. 21/20280;Sabine Boeddinghaus;Die Linke;2;2;6;True;True;63975;22_00128_nachfragen_zur_antwort_des_senats_auf_die_schriftliche_kleine_anfrage_drs_21_20280.md
22/130;2020-04-23;2020-04-30;Atomtransporte durch Hamburg;"Norbert Hackbusch; Stephan Jersch";Die Linke;17;22;12;True;True;63973;22_00130_atomtransporte_durch_hamburg.md
22/131;2020-04-27;2020-05-05;Zukunftssicherung der norddeutschen Jugendherbergen im Lockdown;Stephan Jersch;Die Linke;5;15;3;True;True;63977;22_00131_zukunftssicherung_der_norddeutschen_jugendherbergen_im_lockdown.md
22/132;2020-04-27;2020-05-05;Partnerschaftsgewalt und Femizide – aktuelle Zahlen;"Cansu Özdemir; Dr. Carola Ensslen";Die Linke;6;8;5;True;True;63978;22_00132_partnerschaftsgewalt_und_femizide_aktuelle_zahlen.md
22/121;2020-04-28;2020-05-05;Satzungsänderung in der Handelskammer Hamburg/Genehmigung durch die Rechtsaufsicht;Olga Fritzsche;Die Linke;3;5;2;True;True;63982;22_00121_satzungsaenderung_in_der_handelskammer_hamburg_genehmigung_durch_die_rechtsaufsicht.md
22/122;2020-04-28;2020-05-05;Wohin in der Not? – Aktuelle und erreichbare Beratungsstellen in Hamburg;"Dr. Stephanie Rose; Olga Fritzsche";Die Linke;1;1;90;True;True;63983;22_00122_wohin_in_der_not_aktuelle_und_erreichbare_beratungsstellen_in_hamburg.md
22/133;2020-04-28;2020-05-05;Polizei schließt Shishabar in Wandsbek wegen Verstoßes gegen das Kontaktverbot;Dirk Nockemann;AfD;10;10;2;True;True;63984;22_00133_polizei_schliesst_shishabar_in_wandsbek_wegen_verstosses_gegen_das_kontaktverbot.md
22/134;2020-04-28;2020-05-05;Babyklappen zu Corona-Zeiten;Olga Petersen;AfD;12;14;2;True;True;63985;22_00134_babyklappen_zu_corona_zeiten.md
22/135;2020-04-28;2020-05-05;Jugendherbergen zu Corona-Zeiten;Olga Petersen;AfD;5;7;2;True;True;63986;22_00135_jugendherbergen_zu_corona_zeiten.md
22/136;2020-04-28;2020-05-05;Geburtenzahl und neugeborene Kinder in Hamburg;Olga Petersen;AfD;2;4;2;True;True;63987;22_00136_geburtenzahl_und_neugeborene_kinder_in_hamburg.md
22/137;2020-04-29;2020-05-05;Cum-Ex-Aufklärung in Hamburg (2);Norbert Hackbusch;Die Linke;6;16;2;True;True;63994;22_00137_cum_ex_aufklaerung_in_hamburg_2.md
22/138;2020-04-30;2020-05-08;Corona-Pandemie – Monitoring in Hamburg;"Thomas Reich; Olga Petersen";AfD;12;11;4;True;True;63990;22_00138_corona_pandemie_monitoring_in_hamburg.md
22/139;2020-04-30;2020-05-08;Ist das Legitimationsverfahren bei der Corona-Soforthilfe mit dem Datenschutz vereinbar?;"Deniz Celik; Metin Kaya; Cansu Özdemir";Die Linke;12;26;3;True;True;63991;22_00139_ist_das_legitimationsverfahren_bei_der_corona_soforthilfe_mit_dem_datenschutz_vereinbar.md
22/140;2020-04-30;2020-05-08;Hygienemaßnahmen und Prävention während der Corona-Pandemie – Was tut f & w fördern und wohnen (f & w, AöR) in den Unterkünften?;Dr. Carola Ensslen;Die Linke;5;19;6;True;True;63993;22_00140_hygienemassnahmen_und_praevention_waehrend_der_corona_pandemie_was_tut_f_w_foerdern_und_wohnen_f_w_ao.md
22/141;2020-04-30;2020-05-08;Erst Kahlschlag, jetzt weitere umfangreiche Fällungen auf privater Waldfläche in den Walddörfern – lässt sich die Stadt hier an der Nase herumführen?;Thilo Kleibauer;CDU;12;19;3;True;True;64047;22_00141_erst_kahlschlag_jetzt_weitere_umfangreiche_faellungen_auf_privater_waldflaeche_in_den_walddoerfern_la.md
22/142;2020-04-30;2020-05-08;Fahrrinnenanpassung der Elbe;"Stephan Jersch; Norbert Hackbusch";Die Linke;6;9;2;True;True;63997;22_00142_fahrrinnenanpassung_der_elbe.md
22/143;2020-04-30;2020-05-08;Krankenhausausbrüche von COVID-19;Deniz Celik;Die Linke;4;6;4;True;True;63995;22_00143_krankenhausausbrueche_von_covid_19.md
22/147;2020-05-04;2020-05-12;Wie gefährlich ist die enge Belegung wirklich? Aktuelle Infektionen mit COVID-19 in Unterkünften für Geflüchtete und Wohnungslose;Dr. Carola Ensslen;Die Linke;4;33;6;True;True;64048;22_00147_wie_gefaehrlich_ist_die_enge_belegung_wirklich_aktuelle_infektionen_mit_covid_19_in_unterkuenften_fue.md
22/148;2020-05-04;2020-05-12;Ist Schutz vor Corona auch im Winternotprogramm sichergestellt?;Dr. Stephanie Rose;Die Linke;17;18;18;True;True;64003;22_00148_ist_schutz_vor_corona_auch_im_winternotprogramm_sichergestellt.md
22/149;2020-05-04;2020-05-12;Maskenpflicht in Hamburg: Hat der Senat Menschen mit geringem Einkommen im Blick?;"Dr. Stephanie Rose; Olga Fritzsche";Die Linke;5;7;2;True;True;63999;22_00149_maskenpflicht_in_hamburg_hat_der_senat_menschen_mit_geringem_einkommen_im_blick.md
22/150;2020-05-04;2020-05-12;Aus der Corona-Krise lernen – Verfügt die Hamburger Verwaltung über ausreichend Homeoffice-Arbeitsplätze, um die Beschäftigten bestmöglich zu schützen?;Sandro Kappe;CDU;19;26;16;True;True;64049;22_00150_aus_der_corona_krise_lernen_verfuegt_die_hamburger_verwaltung_ueber_ausreichend_homeoffice_arbeitspla.md
22/151;2020-05-04;2020-05-12;Pilotprojekt „Wärme aus Abwasser“ – Wie erfolgreich ist das Projekt?;Birgit Stöver;CDU;6;12;2;True;True;64050;22_00151_pilotprojekt_waerme_aus_abwasser_wie_erfolgreich_ist_das_projekt.md
22/152;2020-05-04;2020-05-12;Ein „neues Schulsystem“ – ohne parlamentarischen Beschluss und auf wessen Kosten?;Sabine Boeddinghaus;Die Linke;8;16;8;True;True;64051;22_00152_ein_neues_schulsystem_ohne_parlamentarischen_beschluss_und_auf_wessen_kosten.md
22/153;2020-05-04;2020-05-12;Kita-Notbetreuung in Zeiten der Corona-Krise (II);Insa Tietjen;Die Linke;12;22;5;True;True;64016;22_00153_kita_notbetreuung_in_zeiten_der_corona_krise_ii.md
22/155;2020-05-05;2020-05-12;Reduzierter Luftverkehr und die Auswirkungen auf die Umwelt;"Detlef Ehlebracht; Thomas Reich";AfD;10;15;5;True;True;64015;22_00155_reduzierter_luftverkehr_und_die_auswirkungen_auf_die_umwelt.md
22/156;2020-05-05;2020-05-12;Kokainfund im Hamburger Hafen;Dirk Nockemann;AfD;6;6;2;True;True;64014;22_00156_kokainfund_im_hamburger_hafen.md
22/158;2020-05-05;2020-05-12;Geschenkte Handys für Strafgefangene;Dirk Nockemann;AfD;11;11;3;True;True;64013;22_00158_geschenkte_handys_fuer_strafgefangene.md
22/160;2020-05-05;2020-05-12;Messerstecherei in Hamburg-Winterhude;Dirk Nockemann;AfD;12;12;2;True;True;64012;22_00160_messerstecherei_in_hamburg_winterhude.md
22/161;2020-05-05;2020-05-12;Kontrollen von Einreisenden aus sogenannten Risikogebieten und Ausgangsbeschränkungen;"Dirk Nockemann; Detlef Ehlebracht; Thomas Reich";AfD;10;15;3;True;True;64011;22_00161_kontrollen_von_einreisenden_aus_sogenannten_risikogebieten_und_ausgangsbeschraenkungen.md
22/163;2020-05-05;2020-05-12;Trotz Rundfunkgebühr und Millionenrücklagen – Kurzarbeit beim NDR und seinen Beteiligungen?;"Dr. Alexander Wolf; Olga Petersen; Krzysztof Walczak";AfD;6;6;2;True;True;64010;22_00163_trotz_rundfunkgebuehr_und_millionenruecklagen_kurzarbeit_beim_ndr_und_seinen_beteiligungen.md
22/164;2020-05-05;2020-05-12;Klimakiller-Gas Sulfurylfluorid: Vermeidung und Ersatz;Stephan Jersch;Die Linke;13;12;7;True;True;64083;22_00164_klimakiller_gas_sulfurylfluorid_vermeidung_und_ersatz.md
22/165;2020-05-05;2020-05-12;Ehrenamt stärken – Hat auch der Senat durch die Corona-Pandemie erkannt, dass eine Stärkung der Freiwilligenarbeit, aber auch des Hauptamts bei sozialen Angeboten unerlässlich ist?;"Richard Seelmaecker; Andreas Grutzeck";CDU;22;37;7;True;True;64052;22_00165_ehrenamt_staerken_hat_auch_der_senat_durch_die_corona_pandemie_erkannt_dass_eine_staerkung_der_freiwi.md
22/166;2020-05-05;2020-05-12;„Flexible Grundschule“ – Hamburg eines der Schlusslichter?;Birgit Stöver;CDU;6;10;3;True;True;64009;22_00166_flexible_grundschule_hamburg_eines_der_schlusslichter.md
22/167;2020-05-05;2020-05-12;Bramfelder Dorfpassage: Wann wird der Durchgang barrierefrei hergestellt?;Sandro Kappe;CDU;6;6;2;True;True;64008;22_00167_bramfelder_dorfpassage_wann_wird_der_durchgang_barrierefrei_hergestellt.md
22/168;2020-05-05;2020-05-12;Ist die medizinische Versorgung von Obdachlosen und Menschen ohne Papiere sichergestellt?;Andreas Grutzeck;CDU;9;20;6;True;True;64007;22_00168_ist_die_medizinische_versorgung_von_obdachlosen_und_menschen_ohne_papiere_sichergestellt.md
22/169;2020-05-05;;Soziale Erhaltungsverordnung St. Pauli;Dr. Anke Frieling;CDU;2;3;1;True;True;64006;22_00169_soziale_erhaltungsverordnung_st_pauli.md
22/170;2020-05-05;2020-05-12;Bewertung der NO2- und Feinstaubwerte aufgrund der aktuellen Situation;Detlef Ehlebracht;AfD;8;11;7;True;True;64005;22_00170_bewertung_der_no2_und_feinstaubwerte_aufgrund_der_aktuellen_situation.md
22/173;2020-05-06;2020-05-12;Hilfe auch in Krisenzeiten – Können die sozialen und gesundheitlichen Beratungsstellen auch während der Pandemie ihren wertvollen Beitrag leisten?;Stephan Gamm;CDU;11;29;5;True;True;64042;22_00173_hilfe_auch_in_krisenzeiten_koennen_die_sozialen_und_gesundheitlichen_beratungsstellen_auch_waehrend_d.md
22/174;2020-05-06;2020-05-12;Desolate Situation im Gesundheitsamt Harburg;Birgit Stöver;CDU;14;25;4;True;True;64061;22_00174_desolate_situation_im_gesundheitsamt_harburg.md
22/175;2020-05-06;2020-05-12;Corona-Skandal im UKE – Ermittlungen der Staatsanwaltschaft;Richard Seelmaecker;CDU;14;20;4;True;True;64043;22_00175_corona_skandal_im_uke_ermittlungen_der_staatsanwaltschaft.md
22/176;2020-05-06;2020-05-12;Mittagsverpflegung in Hamburger Kitas während der Corona-Pandemie;Silke Seif;CDU;10;12;2;True;True;64044;22_00176_mittagsverpflegung_in_hamburger_kitas_waehrend_der_corona_pandemie.md
22/177;2020-05-06;2020-05-12;Kinderschutz während der Corona-Pandemie – Wie ist der Sachstand?;Silke Seif;CDU;10;16;11;True;True;64060;22_00177_kinderschutz_waehrend_der_corona_pandemie_wie_ist_der_sachstand.md
22/178;2020-05-07;2020-05-15;Transparenz bei Auszahlungen über das Bundesteilhabegesetz;Cansu Özdemir;Die Linke;4;7;3;True;True;64066;22_00178_transparenz_bei_auszahlungen_ueber_das_bundesteilhabegesetz.md
22/179;2020-05-07;2020-05-15;Situation untergebrachter Menschen mit Behinderungen in der Corona-Zeit;Cansu Özdemir;Die Linke;6;7;3;True;True;64053;22_00179_situation_untergebrachter_menschen_mit_behinderungen_in_der_corona_zeit.md
22/180;2020-05-07;2020-05-15;Arbeitsschutz für Mitarbeitende bei f & w fördern und wohnen (f & w, AöR) in Zeiten von Corona – Welche Maßnahmen ergreift das Unternehmen (nicht)?;Dr. Carola Ensslen;Die Linke;5;22;6;True;True;64067;22_00180_arbeitsschutz_fuer_mitarbeitende_bei_f_w_foerdern_und_wohnen_f_w_aoer_in_zeiten_von_corona_welche_mas.md
22/181;2020-05-07;2020-05-15;Eindämmung des Coronavirus – wie stellt sich die aktuelle Situation für Hamburgs Justiz dar?;Richard Seelmaecker;CDU;21;34;13;True;True;64068;22_00181_eindaemmung_des_coronavirus_wie_stellt_sich_die_aktuelle_situation_fuer_hamburgs_justiz_dar.md
22/182;2020-05-07;2020-05-15;Eindämmung des Coronavirus – wie stellt sich die aktuelle Situation für Hamburgs Sicherheitsbehörden dar?;Dennis Gladiator;CDU;25;31;25;True;True;64069;22_00182_eindaemmung_des_coronavirus_wie_stellt_sich_die_aktuelle_situation_fuer_hamburgs_sicherheitsbehoerden.md
22/183;2020-05-07;2020-05-15;U5 nach Bramfeld – Können die Kosten getragen werden?;"Sandro Kappe; Richard Seelmaecker";CDU;22;27;4;True;True;64070;22_00183_u5_nach_bramfeld_koennen_die_kosten_getragen_werden.md
22/184;2020-05-07;2020-05-15;Kreuzfahrtschiffe in Hamburg;Norbert Hackbusch;Die Linke;9;11;2;True;True;64071;22_00184_kreuzfahrtschiffe_in_hamburg.md
22/185;2020-05-07;2020-05-15;Negative Strompreise;Stephan Jersch;Die Linke;5;10;3;True;True;64072;22_00185_negative_strompreise.md
22/186;2020-05-07;2020-05-15;Häusliche Gewalt in Hamburg im März und April 2020;"Olga Petersen; Thomas Reich";AfD;5;5;2;True;True;64054;22_00186_haeusliche_gewalt_in_hamburg_im_maerz_und_april_2020.md
22/187;2020-05-07;2020-05-15;Kirchenvandalismus in Hamburg;"Thomas Reich; Olga Petersen";AfD;5;5;6;True;True;64055;22_00187_kirchenvandalismus_in_hamburg.md
22/188;2020-05-07;2020-05-15;Lage der Schullandheime;Sabine Boeddinghaus;Die Linke;3;6;3;True;True;64073;22_00188_lage_der_schullandheime.md
22/189;2020-05-07;2020-05-15;Kein Kunterbunker am Kuhnsweg in Winterhude?;Heike Sudmann;Die Linke;5;7;3;True;True;64074;22_00189_kein_kunterbunker_am_kuhnsweg_in_winterhude.md
22/190;2020-05-07;2020-05-15;Auswirkungen der Corona-Krise auf Hamburgs Mieter/-innen;Heike Sudmann;Die Linke;9;14;5;True;True;64075;22_00190_auswirkungen_der_corona_krise_auf_hamburgs_mieter_innen.md
22/192;2020-05-08;2020-05-15;Salafisten im Fokus – ein Querschnitt der Hamburger Szene (März/April 2020);"Dirk Nockemann; Dr. Alexander Wolf";AfD;10;11;5;True;True;64056;22_00192_salafisten_im_fokus_ein_querschnitt_der_hamburger_szene_maerz_april_2020.md
22/193;2020-05-08;2020-05-15;Salafismusprävention in Hamburg – Beratungsstelle Gewaltprävention;"Dirk Nockemann; Dr. Alexander Wolf";AfD;11;12;5;True;True;64057;22_00193_salafismuspraevention_in_hamburg_beratungsstelle_gewaltpraevention.md
22/194;2020-05-08;2020-05-15;Asklepios, der Hamburger Senat und das jahrelange Hickhack um ein Zentrallager für Hamburgs Krankenhäuser – wie geht es nun weiter?;Thilo Kleibauer;CDU;7;10;2;True;True;64076;22_00194_asklepios_der_hamburger_senat_und_das_jahrelange_hickhack_um_ein_zentrallager_fuer_hamburgs_krankenha.md
22/195;2020-05-08;2020-05-15;Bebauungsplanverfahren Buchenkamp/Eulenkrugstraße – warum hat Rot-Grün die öffentliche Auslegung schon beschlossen?;Thilo Kleibauer;CDU;9;18;3;True;True;64077;22_00195_bebauungsplanverfahren_buchenkamp_eulenkrugstrasse_warum_hat_rot_gruen_die_oeffentliche_auslegung_sch.md
22/196;2020-05-08;2020-05-15;Stillstand bei Bauvorhaben durch Corona?;Richard Seelmaecker;CDU;6;9;3;True;True;64078;22_00196_stillstand_bei_bauvorhaben_durch_corona.md
22/197;2020-05-08;2020-05-15;Massive Planungsmängel, Verzögerungen und Mehrkosten – Bekommt der Senat das Großprojekt „Haus der Erde“ wieder in den Griff?;Thilo Kleibauer;CDU;6;11;2;True;True;64079;22_00197_massive_planungsmaengel_verzoegerungen_und_mehrkosten_bekommt_der_senat_das_grossprojekt_haus_der_erd.md
22/198;2020-05-08;2020-05-15;Täuschungsvorwurf gegen den ehemaligen Bundestagsabgeordneten Johannes Kahrs (SPD) beim Ablegen des Ersten Juristischen Staatsexamens – Angaben zu Kahrs‘ Hochschulqualifizierung und Berufsbezeichnungen;"Olga Petersen; Dirk Nockemann";AfD;3;3;2;True;True;64080;22_00198_taeuschungsvorwurf_gegen_den_ehemaligen_bundestagsabgeordneten_johannes_kahrs_spd_beim_ablegen_des_er.md
22/199;2020-05-08;2020-05-15;"Täuschungsvorwurf gegen den ehemaligen Bundestagsabgeordneten Johannes Kahrs (SPD) beim Ablegen des Ersten Juristischen Staatsexamens (II) – Kahrs als Angestellter der städtischen Unternehmensgruppe SAGA; Stellenausschreibungen und Einstellungsvoraussetzungen";"Dr. Alexander Wolf; Olga Petersen; Dirk Nockemann";AfD;12;18;4;True;True;64081;22_00199_taeuschungsvorwurf_gegen_den_ehemaligen_bundestagsabgeordneten_johannes_kahrs_spd_beim_ablegen_des_er.md
22/200;2020-05-08;2020-05-15;Täuschungsvorwurf gegen den ehemaligen Bundestagsabgeordneten Johannes Kahrs (SPD) beim Ablegen des Ersten Juristischen Staatsexamens (III) – Kahrs‘ Angaben zu Berufsbezeichnungen gegenüber öffentlichen Stellen;"Dr. Alexander Wolf; Olga Petersen; Dirk Nockemann";AfD;3;3;3;True;True;64082;22_00200_taeuschungsvorwurf_gegen_den_ehemaligen_bundestagsabgeordneten_johannes_kahrs_spd_beim_ablegen_des_er.md
