drucksache;datum_anfrage;datum_drucksache;titel;urheber;fraktionen;fragen;einzelfragen;seiten;format_erkannt;beantwortet;vorgang;datei
21/10319;2017-09-07;2017-09-15;Cybersicherheit öffentlicher Institutionen;"Carl-Edgar Jarchow; Jennyfer Dutschke";FDP;10;19;5;True;True;54145;21_10319_cybersicherheit_oeffentlicher_institutionen.md
21/10320;2017-09-07;2017-09-15;Wirtschafts- beziehungsweise Erfolgsplan der Stadtreinigung Hamburg AöR;"Michael Kruse; Dr. Kurt Duwe";FDP;2;5;2;True;True;54146;21_10320_wirtschafts_beziehungsweise_erfolgsplan_der_stadtreinigung_hamburg_aoer.md
21/10321;2017-09-08;2017-09-15;Muss die Stadtreinigung jetzt schon die Werbung für Rot-Grün bezahlen? (2);Thilo Kleibauer;CDU;6;12;2;True;True;54147;21_10321_muss_die_stadtreinigung_jetzt_schon_die_werbung_fuer_rot_gruen_bezahlen_2.md
21/10322;2017-09-08;2017-09-15;Sanierung des Waldwegs;Thilo Kleibauer;CDU;5;7;2;True;True;54148;21_10322_sanierung_des_waldwegs.md
21/10323;2017-09-08;2017-09-15;Neue Lärmschutzwände für das Gebiet „Eidelstedt-Ost“;Martina Koeppen;SPD;8;10;3;True;True;54149;21_10323_neue_laermschutzwaende_fuer_das_gebiet_eidelstedt_ost.md
21/10324;2017-09-08;2017-09-15;Rönneburger Stieg – Drainage im Landschaftsschutz- und Quellgebiet;Dr. Kurt Duwe;FDP;4;8;2;True;True;54150;21_10324_roenneburger_stieg_drainage_im_landschaftsschutz_und_quellgebiet.md
21/10331;2017-09-08;2017-09-15;Einsätze von Spezialkommandos zum G20-Gipfel (II);"Christiane Schneider; Cansu Özdemir";Die Linke;11;17;4;True;True;54151;21_10331_einsaetze_von_spezialkommandos_zum_g20_gipfel_ii.md
21/10335;2017-09-11;2017-09-19;Nachwuchsprojekte an den Hochschulen – Wie fördert dies der Senat?;Carsten Ovens;CDU;8;11;6;True;True;54177;21_10335_nachwuchsprojekte_an_den_hochschulen_wie_foerdert_dies_der_senat.md
21/10336;2017-09-11;2017-09-19;Zentralisierung der Wohn-Pflege-Aufsicht (III) – Wann werden Öffentlichkeit, Bürgerschaft und Bezirke endlich über die „Senatsgeheimnisse“ aus dem Evaluationsgutachten informiert?;Birgit Stöver;CDU;4;7;2;True;True;54178;21_10336_zentralisierung_der_wohn_pflege_aufsicht_iii_wann_werden_oeffentlichkeit_buergerschaft_und_bezirke_en.md
21/10337;2017-09-11;2017-09-19;Geplante Sanierung Wellingsbüttler Weg;Dennis Thering;CDU;6;6;2;True;True;54179;21_10337_geplante_sanierung_wellingsbuettler_weg.md
21/10339;2017-09-11;2017-09-19;Qualifikation von befristet angestellten Lehrern/-innen in 2016/2017 und 2017/2018;Sabine Boeddinghaus;Die Linke;10;25;7;True;True;54180;21_10339_qualifikation_von_befristet_angestellten_lehrern_innen_in_2016_2017_und_2017_2018.md
21/10340;2017-09-11;2017-09-19;StadtRad (2);Dr. Wieland Schinnenburg;FDP;2;2;5;True;True;54199;21_10340_stadtrad_2.md
21/10341;2017-09-11;2017-09-19;Busbeschleunigung (98);Dr. Wieland Schinnenburg;FDP;9;9;2;True;True;54200;21_10341_busbeschleunigung_98.md
21/10342;2017-09-11;2017-09-19;Sperrung von Brücken für Radfahrer und Fußgänger (2);Dr. Wieland Schinnenburg;FDP;5;7;1;True;True;54201;21_10342_sperrung_von_bruecken_fuer_radfahrer_und_fussgaenger_2.md
21/10343;2017-09-11;2017-09-19;Exzellente Orchesterlandschaft Deutschland – Werden die Hamburger Symphoniker das Opfer leerer Versprechungen und falscher Hoffnungen?;"Jens Meyer; Katja Suding";FDP;7;14;3;True;True;54202;21_10343_exzellente_orchesterlandschaft_deutschland_werden_die_hamburger_symphoniker_das_opfer_leerer_versprec.md
21/10344;2017-09-11;2017-09-19;Gewalt-Vorfälle an Schulen: Zahlen zum Schuljahr 2016/2017;Anna-Elisabeth von Treuenfels-Frowein;FDP;11;17;15;True;True;54203;21_10344_gewalt_vorfaelle_an_schulen_zahlen_zum_schuljahr_2016_2017.md
21/10345;2017-09-11;2017-09-19;Verlust beim Parkraum-Management (2);Dr. Wieland Schinnenburg;FDP;6;8;2;True;True;54166;21_10345_verlust_beim_parkraum_management_2.md
21/10351;2017-09-12;2017-09-19;Hamburgisches Wohn- und Betreuungsqualitätsgesetzes (HmbgWBG) – Liegt die Evaluation mittlerweile vor?;Deniz Celik;Die Linke;0;0;1;False;True;54208;21_10351_hamburgisches_wohn_und_betreuungsqualitaetsgesetzes_hmbgwbg_liegt_die_evaluation_mittlerweile_vor.md
21/10352;2017-09-12;2017-09-19;Die Inanspruchnahme von Polizeivollzugskräften der Freien und Hansestadt Hamburg durch den Bund und andere Länder (III);Karl-Heinz Warnholz;CDU;4;4;3;True;True;54212;21_10352_die_inanspruchnahme_von_polizeivollzugskraeften_der_freien_und_hansestadt_hamburg_durch_den_bund_und_.md
21/10353;2017-09-12;2017-09-19;Zappenduster: Strom-, Gas- und Wasserabsperrungen in Hamburg;"Cansu Özdemir; Zaklin Nastic";Die Linke;9;11;4;True;True;54213;21_10353_zappenduster_strom_gas_und_wasserabsperrungen_in_hamburg.md
21/10354;2017-09-12;2017-09-19;Bäderland und das Security-Personal;Mehmet Yildiz;Die Linke;7;7;1;True;True;54214;21_10354_baederland_und_das_security_personal.md
21/10355;2017-09-12;2017-09-19;Sanierungsbedarf vereinseigener Anlagen in Bergedorf und vom SVNA (Sportverein Nettelnburg/Allermöhe);"Mehmet Yildiz; Stephan Jersch";Die Linke;5;7;2;True;True;54215;21_10355_sanierungsbedarf_vereinseigener_anlagen_in_bergedorf_und_vom_svna_sportverein_nettelnburg_allermoehe.md
21/10356;2017-09-12;2017-09-19;Beeinträchtigungen der Fortbewegung durch den G20-Gipfel;"Christiane Schneider; Cansu Özdemir; Heike Sudmann";Die Linke;9;20;10;True;True;54216;21_10356_beeintraechtigungen_der_fortbewegung_durch_den_g20_gipfel.md
21/10357;2017-09-12;2017-09-19;Wie unterstützt der Senat die Schaffung eines der Nachfrage entsprechenden Bestandes an seniorengerechten Wohnungen? (II);Birgit Stöver;CDU;6;11;2;True;True;54217;21_10357_wie_unterstuetzt_der_senat_die_schaffung_eines_der_nachfrage_entsprechenden_bestandes_an_seniorengere.md
21/10359;2017-09-12;2017-09-19;Gewalt rund um den G20-Gipfel (V);Dirk Nockemann;AfD;5;5;2;True;True;54218;21_10359_gewalt_rund_um_den_g20_gipfel_v.md
21/10360;2017-09-12;2017-09-19;Werbemaßnahmen für Menschen mit Migrationshintergrund bei Stellenausschreibungen;Dr. Bernd Baumann;AfD;4;5;2;True;True;54205;21_10360_werbemassnahmen_fuer_menschen_mit_migrationshintergrund_bei_stellenausschreibungen.md
21/10364;2017-09-13;2017-09-19;Mehrfach Intensivtäter Asylbewerber (MITAs) in Hamburg;Dirk Nockemann;AfD;4;4;2;True;True;54220;21_10364_mehrfach_intensivtaeter_asylbewerber_mitas_in_hamburg.md
21/10365;2017-09-13;2017-09-19;Häufung der Suizide in der Untersuchungshaftanstalt;Richard Seelmaecker;CDU;14;21;6;True;True;54221;21_10365_haeufung_der_suizide_in_der_untersuchungshaftanstalt.md
21/10366;2017-09-13;2017-09-19;Flüchtlinge in Hummelbüttel – Stadtteilgerechtigkeit sieht anders aus! (III);Dennis Thering;CDU;5;6;2;True;True;54222;21_10366_fluechtlinge_in_hummelbuettel_stadtteilgerechtigkeit_sieht_anders_aus_iii.md
21/10385;2017-09-14;2017-09-22;Verkommt Hamburg zum Eldorado der „Abschleppmafia“? (III) Hier: Tut der Senat wirklich alles in seiner Macht stehende, um die unlauteren Geschäftspraktiken zu unterbinden?;Dennis Thering;CDU;8;15;3;True;True;54233;21_10385_verkommt_hamburg_zum_eldorado_der_abschleppmafia_iii_hier_tut_der_senat_wirklich_alles_in_seiner_mach.md
21/10386;2017-09-14;2017-09-22;„Bezahlausbildung“ in Hamburg;Sabine Boeddinghaus;Die Linke;10;16;112;True;True;54234;21_10386_bezahlausbildung_in_hamburg.md
21/10387;2017-09-14;2017-09-22;Verfahren im sogenannten Ankunftszentrum Meiendorf;Christiane Schneider;Die Linke;8;17;3;True;True;54235;21_10387_verfahren_im_sogenannten_ankunftszentrum_meiendorf.md
21/10388;2017-09-14;2017-09-22;Verwehrt der Senat Hamburger Schülern/-innen aufgrund des Gastschulabkommens mit Schleswig-Holstein Erstwunschschulplätze?;Sabine Boeddinghaus;Die Linke;8;10;3;True;True;54236;21_10388_verwehrt_der_senat_hamburger_schuelern_innen_aufgrund_des_gastschulabkommens_mit_schleswig_holstein_e.md
21/10389;2017-09-14;2017-09-22;Verwaltungsangestellte in Schulbüros an Hamburger Schulen;Sabine Boeddinghaus;Die Linke;11;51;11;True;True;54237;21_10389_verwaltungsangestellte_in_schulbueros_an_hamburger_schulen.md
21/10390;2017-09-14;2017-09-22;Sorgerechtsentzüge, Inobhutnahmen und Hilfen zur Erziehung in Hamburg (II);"Sabine Boeddinghaus; Mehmet Yildiz";Die Linke;3;3;2;True;True;54238;21_10390_sorgerechtsentzuege_inobhutnahmen_und_hilfen_zur_erziehung_in_hamburg_ii.md
21/10391;2017-09-14;2017-09-22;Messer, Drogen, Handys – Die Funde in den Haftanstalten (IV);Richard Seelmaecker;CDU;8;6;11;True;True;54239;21_10391_messer_drogen_handys_die_funde_in_den_haftanstalten_iv.md
21/10392;2017-09-14;2017-09-22;Zustand der Kinderspielplätze in Hamburg-Altona;"Daniel Oetzel; Katja Suding";FDP;9;12;3;True;True;54240;21_10392_zustand_der_kinderspielplaetze_in_hamburg_altona.md
21/10393;2017-09-14;2017-09-22;Zustand der Kinderspielplätze in Hamburg-Wandsbek;"Daniel Oetzel; Dr. Wieland Schinnenburg";FDP;9;12;2;True;True;54241;21_10393_zustand_der_kinderspielplaetze_in_hamburg_wandsbek.md
21/10394;2017-09-14;2017-09-22;Zustand der Kinderspielplätze in Hamburg-Eimsbüttel;Daniel Oetzel;FDP;9;12;2;True;True;54242;21_10394_zustand_der_kinderspielplaetze_in_hamburg_eimsbuettel.md
21/10395;2017-09-14;2017-09-22;Zustand der Kinderspielplätze in Hamburg-Bergedorf;Daniel Oetzel;FDP;9;12;2;True;True;54243;21_10395_zustand_der_kinderspielplaetze_in_hamburg_bergedorf.md
21/10396;2017-09-14;2017-09-22;Zustand der Kinderspielplätze in Hamburg-Harburg;Daniel Oetzel;FDP;9;12;2;True;True;54244;21_10396_zustand_der_kinderspielplaetze_in_hamburg_harburg.md
21/10397;2017-09-14;2017-09-22;Zustand der Kinderspielplätze in Hamburg-Nord;Daniel Oetzel;FDP;9;12;2;True;True;54245;21_10397_zustand_der_kinderspielplaetze_in_hamburg_nord.md
21/10398;2017-09-14;2017-09-22;Zustand der Kinderspielplätze in Hamburg-Mitte;Daniel Oetzel;FDP;9;12;2;True;True;54246;21_10398_zustand_der_kinderspielplaetze_in_hamburg_mitte.md
21/10399;2017-09-15;2017-09-22;Monitoring Integration – Wie ist die Situation Ende August 2017?;"Franziska Grunwaldt; Dennis Gladiator; Jörg Hamann; Philipp Heißner; Michael Westenberger";CDU;20;29;19;True;True;54247;21_10399_monitoring_integration_wie_ist_die_situation_ende_august_2017.md
21/10400;2017-09-15;2017-09-22;„Flüchtlingsmonitoring“ – Wie ist die Situation Ende August 2017?;"Franziska Grunwaldt; Dennis Gladiator; Jörg Hamann; Philipp Heißner; Michael Westenberger";CDU;31;40;23;True;True;54248;21_10400_fluechtlingsmonitoring_wie_ist_die_situation_ende_august_2017.md
21/10401;2017-09-15;2017-09-22;Islam-Staatsvertrag – Welche Gespräche führte und führt der Senat tatsächlich mit den Vertragspartnern? (3);"Katja Suding; Anna-Elisabeth von Treuenfels-Frowein; Carl-Edgar Jarchow";FDP;11;19;3;True;True;54249;21_10401_islam_staatsvertrag_welche_gespraeche_fuehrte_und_fuehrt_der_senat_tatsaechlich_mit_den_vertragspartn.md
21/10402;2017-09-15;2017-09-22;ZOB;Dr. Wieland Schinnenburg;FDP;6;9;2;True;True;54250;21_10402_zob.md
21/10403;2017-09-15;2017-09-22;Rückhaltebecken Lottbeker Teich – Wann werden die angekündigten Maßnahmen umgesetzt? (2);Thilo Kleibauer;CDU;4;8;2;True;True;54251;21_10403_rueckhaltebecken_lottbeker_teich_wann_werden_die_angekuendigten_massnahmen_umgesetzt_2.md
21/10404;2017-09-15;2017-09-22;Bevormundung und Nötigung durch „Parking Day“ – Warum unterstützt der Senat diese mobilitätsfeindliche Aktion der „Parkplatzguerilla“?;"Dennis Thering; Dennis Gladiator";CDU;20;26;3;True;True;54252;21_10404_bevormundung_und_noetigung_durch_parking_day_warum_unterstuetzt_der_senat_diese_mobilitaetsfeindliche.md
21/10407;2017-09-18;2017-09-26;Vermüllung und Reinigung von Bahnsteigen und Gleisbetten in Hamburg;Dennis Thering;CDU;36;36;5;True;True;54266;21_10407_vermuellung_und_reinigung_von_bahnsteigen_und_gleisbetten_in_hamburg.md
21/10408;2017-09-18;2017-09-26;Hanseatisch-peruanische Freundschaft auf dem Prüfstand – Eine Bestandsaufnahme der bilateralen Beziehungen;Carsten Ovens;CDU;12;24;6;True;True;54267;21_10408_hanseatisch_peruanische_freundschaft_auf_dem_pruefstand_eine_bestandsaufnahme_der_bilateralen_beziehu.md
21/10409;2017-09-18;2017-09-26;G20 – Eskalation im Schanzenviertel in der Nacht zum 8.7.17;"Christiane Schneider; Cansu Özdemir";Die Linke;8;18;4;True;True;54268;21_10409_g20_eskalation_im_schanzenviertel_in_der_nacht_zum_8_7_17.md
21/10410;2017-09-18;2017-09-26;Hamburg Messe und Congress GmbH (HMC): Wie hat sich die Messe Hamburg entwickelt? (II);David Erkalp;CDU;13;17;5;True;True;54269;21_10410_hamburg_messe_und_congress_gmbh_hmc_wie_hat_sich_die_messe_hamburg_entwickelt_ii.md
21/10411;2017-09-18;2017-09-26;Welchen Wert haben Hamburgs Hochschulabschlüsse ohne Akkreditierung?;Carsten Ovens;CDU;4;13;4;True;True;54270;21_10411_welchen_wert_haben_hamburgs_hochschulabschluesse_ohne_akkreditierung.md
21/10412;2017-09-18;2017-09-26;Zukunft des Lycée Antoine de Saint-Exupéry – Lässt der Senat Eltern im Stich?;Carsten Ovens;CDU;3;9;4;True;True;54271;21_10412_zukunft_des_lyc_e_antoine_de_saint_exup_ry_laesst_der_senat_eltern_im_stich.md
21/10413;2017-09-18;2017-09-26;Durch welche Maßnahmen fördert der Senat das duale Studium?;"Franziska Grunwaldt; Carsten Ovens";CDU;9;13;5;True;True;54272;21_10413_durch_welche_massnahmen_foerdert_der_senat_das_duale_studium.md
21/10414;2017-09-18;2017-09-26;Nutzung schulischer Räume im Wahlkampf;Dr. Alexander Wolf;AfD;4;4;3;True;True;54273;21_10414_nutzung_schulischer_raeume_im_wahlkampf.md
21/10415;2017-09-18;2017-09-26;Nachfrage zu Fortbildungsveranstaltungen am Landesinstitut für Lehrerbildung und Schulentwicklung mit Einbeziehung des Linksextremismus;Dr. Alexander Wolf;AfD;2;6;3;True;True;54336;21_10415_nachfrage_zu_fortbildungsveranstaltungen_am_landesinstitut_fuer_lehrerbildung_und_schulentwicklung_mi.md
21/10416;2017-09-18;2017-09-26;Interne Seminare und Fortbildungsveranstaltungen in der BSB;Dr. Alexander Wolf;AfD;0;0;1;False;True;54274;21_10416_interne_seminare_und_fortbildungsveranstaltungen_in_der_bsb.md
21/10417;2017-09-18;2017-09-26;Durchführung von Geldsammlungen an Hamburger Schulen (§ 53 Absatz 4 Nummer 15 HmbSG) – Jahresabfrage 2015 (II);Dr. Alexander Wolf;AfD;0;0;5;False;True;54275;21_10417_durchfuehrung_von_geldsammlungen_an_hamburger_schulen_53_absatz_4_nummer_15_hmbsg_jahresabfrage_2015_.md
21/10418;2017-09-18;2017-09-26;Café Knallhart (III) Unterstützung gewalttätiger Proteste während des G20-Gipfels?;Dr. Alexander Wolf;AfD;7;7;2;True;True;54276;21_10418_caf_knallhart_iii_unterstuetzung_gewalttaetiger_proteste_waehrend_des_g20_gipfels.md
21/10419;2017-09-18;2017-09-26;Äußerungen durch LINKEN-Politikerin Sarah Rambatz: verfassungsrelevante Deutschfeindlichkeit?;Dr. Alexander Wolf;AfD;4;4;2;True;True;54277;21_10419_aeusserungen_durch_linken_politikerin_sarah_rambatz_verfassungsrelevante_deutschfeindlichkeit.md
21/10420;2017-09-18;2017-09-26;Anzeige der Hamburger Volkshochschule in SPD-Parteizeitung;Dr. Alexander Wolf;AfD;5;5;2;True;True;54278;21_10420_anzeige_der_hamburger_volkshochschule_in_spd_parteizeitung.md
21/10421;2017-09-18;2017-09-26;Verhütungsmittel für Leistungsbezieher (2);"Dr. Wieland Schinnenburg; Jennyfer Dutschke";FDP;5;7;1;True;True;54279;21_10421_verhuetungsmittel_fuer_leistungsbezieher_2.md
21/10422;2017-09-18;2017-09-26;Stand der EM – Bewerbung 2024;Mehmet Yildiz;Die Linke;17;25;4;True;True;54280;21_10422_stand_der_em_bewerbung_2024.md
21/10423;2017-09-18;2017-09-26;Was passiert mit dem Kundenzentrum Walddörfer? (5);Thilo Kleibauer;CDU;12;15;2;True;True;54281;21_10423_was_passiert_mit_dem_kundenzentrum_walddoerfer_5.md
21/10424;2017-09-18;2017-09-26;Flüchtlingsunterkunft Ohkamp/Flughafenstraße;Jennyfer Dutschke;FDP;11;16;2;True;True;54282;21_10424_fluechtlingsunterkunft_ohkamp_flughafenstrasse.md
21/10425;2017-09-18;2017-09-26;Spielhallen und Wettbürodichte in Billstedt (II);Mehmet Yildiz;Die Linke;4;9;2;True;True;54283;21_10425_spielhallen_und_wettbuerodichte_in_billstedt_ii.md
21/10437;2017-09-19;2017-09-26;Diebstahl in beziehungsweise aus Kraftfahrzeugen (III);Karl-Heinz Warnholz;CDU;5;5;10;True;True;54285;21_10437_diebstahl_in_beziehungsweise_aus_kraftfahrzeugen_iii.md
21/10438;2017-09-19;2017-09-26;Bald 30 Jahre rechtsfreier Raum auf Steuerkosten – Ein Trauerspiel der SPD;Dennis Gladiator;CDU;14;20;3;True;True;54286;21_10438_bald_30_jahre_rechtsfreier_raum_auf_steuerkosten_ein_trauerspiel_der_spd.md
21/10439;2017-09-19;2017-09-26;Strafentschädigung nach Freisprüchen;Richard Seelmaecker;CDU;5;7;2;True;True;54287;21_10439_strafentschaedigung_nach_freispruechen.md
21/10440;2017-09-19;2017-09-26;Zehn Jahre Staatsvertrag mit der Jüdischen Gemeinde in Hamburg;Anna-Elisabeth von Treuenfels-Frowein;FDP;12;18;5;True;True;54288;21_10440_zehn_jahre_staatsvertrag_mit_der_juedischen_gemeinde_in_hamburg.md
21/10441;2017-09-19;2017-09-26;Antisemitismus in Hamburg – Eine Bestandsaufnahme;Anna-Elisabeth von Treuenfels-Frowein;FDP;19;20;6;True;True;54289;21_10441_antisemitismus_in_hamburg_eine_bestandsaufnahme.md
21/10442;2017-09-19;2017-09-26;Humus aus Toiletten;"Andrea Oelschläger; Detlef Ehlebracht";AfD;6;10;2;True;True;54290;21_10442_humus_aus_toiletten.md
21/10443;2017-09-19;2017-09-26;Qualität von Schule beginnt beim Unterricht!;Birgit Stöver;CDU;13;21;3;True;True;54291;21_10443_qualitaet_von_schule_beginnt_beim_unterricht.md
21/10444;2017-09-19;2017-09-26;HSH Nordbank/hsh portfoliomanagement AöR, Hier: Neue Probleme bei Reederei H. Schuldt?;Norbert Hackbusch;Die Linke;10;10;2;True;True;54292;21_10444_hsh_nordbank_hsh_portfoliomanagement_aoer_hier_neue_probleme_bei_reederei_h_schuldt.md
21/10449;2017-09-20;2017-09-26;Freie Fahrt für falsche Fahrgäste? Entwicklung des Bettelns in Bussen und Bahnen in Hamburg seit 2011;"Dennis Thering; Carsten Ovens";CDU;6;8;4;True;True;54311;21_10449_freie_fahrt_fuer_falsche_fahrgaeste_entwicklung_des_bettelns_in_bussen_und_bahnen_in_hamburg_seit_201.md
21/10450;2017-09-20;2017-09-26;Barrikaden bei Veranstaltungen;Detlef Ehlebracht;AfD;13;18;5;True;True;54312;21_10450_barrikaden_bei_veranstaltungen.md
21/10451;2017-09-20;2017-09-26;Aktion von Sea-Watch an den Elbbrücken am 28.6.2017;Dirk Nockemann;AfD;3;4;1;True;True;54313;21_10451_aktion_von_sea_watch_an_den_elbbruecken_am_28_6_2017.md
21/10452;2017-09-20;2017-09-26;Hansaplatz (VI): Aktueller Stand;"Dirk Nockemann; Detlef Ehlebracht";AfD;8;16;3;True;True;54310;21_10452_hansaplatz_vi_aktueller_stand.md
21/10453;2017-09-20;2017-09-26;Neuer Stadtteil auf dem Grasbrook – Wie sieht es aus mit Lärm- und Gesundheitsbelastungen, Kontaminierungen, Schienenanbindung, Grundstückspreisen und Bürger-/-innenbeteiligung?;Heike Sudmann;Die Linke;7;24;4;True;True;54314;21_10453_neuer_stadtteil_auf_dem_grasbrook_wie_sieht_es_aus_mit_laerm_und_gesundheitsbelastungen_kontaminierun.md
21/10454;2017-09-20;2017-09-26;Landesleistungszentrum Handball/Judo – Aktueller Stand (III);Daniel Oetzel;FDP;7;15;2;True;True;54315;21_10454_landesleistungszentrum_handball_judo_aktueller_stand_iii.md
21/10456;2017-09-21;2017-09-29;Pilotprojekt zur HIV-Prävention mit Beteiligung von Hamburger Apotheken;Christiane Blömeke;GRÜNE;9;10;3;True;True;54316;21_10456_pilotprojekt_zur_hiv_praevention_mit_beteiligung_von_hamburger_apotheken.md
21/10457;2017-09-21;2017-09-29;Wohngemeinschaften für LSBTI*-Geflüchtete;Prof. Dr. Jörn Kruse;AfD;11;15;3;True;True;54317;21_10457_wohngemeinschaften_fuer_lsbti_gefluechtete.md
21/10458;2017-09-21;2017-09-29;Neue Beach-Volleyballanlagen in Hamburg;Christiane Blömeke;GRÜNE;7;7;2;True;True;54318;21_10458_neue_beach_volleyballanlagen_in_hamburg.md
21/10459;2017-09-21;2017-09-29;Müssen Lehrer/-innen für ihre verpflichtenden Fortbildungen selbst zahlen?;Sabine Boeddinghaus;Die Linke;9;21;3;True;True;54319;21_10459_muessen_lehrer_innen_fuer_ihre_verpflichtenden_fortbildungen_selbst_zahlen.md
21/10460;2017-09-21;2017-09-29;„23+ Starke Schulen“ – Wer nimmt warum und wie teil?;Sabine Boeddinghaus;Die Linke;10;14;6;True;True;54320;21_10460_23_starke_schulen_wer_nimmt_warum_und_wie_teil.md
21/10461;2017-09-21;2017-09-29;Umsetzung § 16h SGB II in Hamburg;Sabine Boeddinghaus;Die Linke;9;10;3;True;True;54321;21_10461_umsetzung_16h_sgb_ii_in_hamburg.md
21/10462;2017-09-21;2017-07-29;Die Verwahrlosung der Stadt: Der Rathausmarkt;Detlef Ehlebracht;AfD;10;13;2;True;True;54322;21_10462_die_verwahrlosung_der_stadt_der_rathausmarkt.md
21/10463;2017-09-21;2017-09-29;Wie ging es weiter nach der heimlichen Videoüberwachung an der Stadtteilschule Poppenbüttel?;Dennis Thering;CDU;9;16;2;True;True;54323;21_10463_wie_ging_es_weiter_nach_der_heimlichen_videoueberwachung_an_der_stadtteilschule_poppenbuettel.md
21/10464;2017-09-21;2017-09-29;Bauliche Weiterentwicklung der Hamburger Hochschulen;Carsten Ovens;CDU;5;10;3;True;True;54324;21_10464_bauliche_weiterentwicklung_der_hamburger_hochschulen.md
21/10465;2017-09-21;2017-09-29;Wie effektiv fördert der Senat das Studierendenwerk bei den Mensen?;Carsten Ovens;CDU;7;9;4;True;True;54325;21_10465_wie_effektiv_foerdert_der_senat_das_studierendenwerk_bei_den_mensen.md
21/10466;2017-09-21;2017-09-29;Situation in der Hamburger Justiz – Personal Geschäftsstellen (II);Anna-Elisabeth von Treuenfels-Frowein;FDP;4;5;4;True;True;54326;21_10466_situation_in_der_hamburger_justiz_personal_geschaeftsstellen_ii.md
21/10467;2017-09-21;2017-09-29;Sharing Economy – Umgang mit dem Kostenbeitrag beim Carpooling;"Michael Kruse; Dr. Wieland Schinnenburg";FDP;4;6;2;True;True;54327;21_10467_sharing_economy_umgang_mit_dem_kostenbeitrag_beim_carpooling.md
21/10469;2017-09-22;2017-09-29;Entwicklung der Fahrgastzahlen von Bussen, Bahnen und Fähren im ersten Halbjahr 2017;Dennis Thering;CDU;10;10;3;True;True;54328;21_10469_entwicklung_der_fahrgastzahlen_von_bussen_bahnen_und_faehren_im_ersten_halbjahr_2017.md
21/10470;2017-09-22;2017-09-29;Jahresabschlussprüfung der hsh portfoliomanagement AöR ab 2017;Thilo Kleibauer;CDU;6;10;2;True;True;54329;21_10470_jahresabschlusspruefung_der_hsh_portfoliomanagement_aoer_ab_2017.md
21/10471;2017-09-22;2017-09-29;Gibt es neue Überlegungen für den ehemaligen Sportplatz am Fiersbarg? (2);Thilo Kleibauer;CDU;6;6;2;True;True;54330;21_10471_gibt_es_neue_ueberlegungen_fuer_den_ehemaligen_sportplatz_am_fiersbarg_2.md
21/10472;2017-09-22;2017-09-29;Bebauung in Duvenstedt;Thilo Kleibauer;CDU;12;15;2;True;True;54331;21_10472_bebauung_in_duvenstedt.md
21/10473;2017-09-22;2017-09-29;Verbringung von Sedimenten (XXXI) – Schiffbarkeit des Estefahrwassers;"Dr. Kurt Duwe; Michael Kruse";FDP;4;5;2;True;True;54332;21_10473_verbringung_von_sedimenten_xxxi_schiffbarkeit_des_estefahrwassers.md
21/10474;2017-09-22;2017-09-29;Busbeschleunigung (99);Dr. Wieland Schinnenburg;FDP;7;7;6;True;True;54333;21_10474_busbeschleunigung_99.md
21/10475;2017-09-22;2017-09-29;Verkehrschaos nach Helene Fischer und HSV;Dr. Wieland Schinnenburg;FDP;8;8;2;True;True;54334;21_10475_verkehrschaos_nach_helene_fischer_und_hsv.md
21/10478;2017-09-22;2017-09-29;Nachwuchsgewinnung in der Hamburgischen Justiz;Richard Seelmaecker;CDU;8;9;4;True;True;54335;21_10478_nachwuchsgewinnung_in_der_hamburgischen_justiz.md
21/10479;2017-09-25;2017-10-02;Alle Winter wieder: Winternotprogramm 2017/2018;Cansu Özdemir;Die Linke;11;17;3;True;True;54340;21_10479_alle_winter_wieder_winternotprogramm_2017_2018.md
21/10480;2017-09-25;2017-10-02;Ein Schülerleben im Container?;Birgit Stöver;CDU;6;8;8;True;True;54341;21_10480_ein_schuelerleben_im_container.md
21/10481;2017-09-25;2017-10-02;Wie effektiv ist die Salafismus-Prävention des Senats? (II);"Franziska Grunwaldt; Dennis Gladiator";CDU;9;15;3;True;True;54342;21_10481_wie_effektiv_ist_die_salafismus_praevention_des_senats_ii.md
21/10482;2017-09-25;2017-10-02;Bündnis für den Radverkehr, hier: Arbeitsprogramm 2017;"Martin Bill; Lars Pochnicht";"GRÜNE; SPD";3;3;15;True;True;54343;21_10482_buendnis_fuer_den_radverkehr_hier_arbeitsprogramm_2017.md
21/10483;2017-09-25;2017-10-02;Probleme durch Dauerparker auf öffentlichen Parkständen in der Obenhauptstraße und den angrenzenden Straßenzügen – Warum lässt der Senat Anwohner und Gewerbetreibende im Stich?;"Dennis Thering; Richard Seelmaecker";CDU;6;9;3;True;True;54339;21_10483_probleme_durch_dauerparker_auf_oeffentlichen_parkstaenden_in_der_obenhauptstrasse_und_den_angrenzende.md
21/10489;2017-09-26;2017-10-02;Beschädigung von Fahrzeugen und Brücken durch zu hohe Fahrzeuge in Hamburg (II);Karl-Heinz Warnholz;CDU;5;6;3;True;True;54348;21_10489_beschaedigung_von_fahrzeugen_und_bruecken_durch_zu_hohe_fahrzeuge_in_hamburg_ii.md
21/10490;2017-09-26;2017-10-02;G20 – Polizeilich gesicherte Beweismittel;Christiane Schneider;Die Linke;10;26;5;True;True;54349;21_10490_g20_polizeilich_gesicherte_beweismittel.md
