drucksache;datum_anfrage;datum_drucksache;titel;urheber;fraktionen;fragen;einzelfragen;seiten;format_erkannt;beantwortet;vorgang;datei
21/8392;2017-03-20;2017-03-28;Warum kommt es immer wieder zu Zugausfällen beim „Metronom“?;Dennis Thering;CDU;19;26;7;True;True;52244;21_08392_warum_kommt_es_immer_wieder_zu_zugausfaellen_beim_metronom.md
21/8393;2017-03-20;2017-03-28;Verkehrssituation in der Alten Dorfstraße in Ohlstedt;Dennis Thering;CDU;3;5;2;True;True;52324;21_08393_verkehrssituation_in_der_alten_dorfstrasse_in_ohlstedt.md
21/8398;2017-03-21;2017-03-28;Überbauung von Gleisen und Stellplätzen;Detlef Ehlebracht;AfD;7;8;2;True;True;52321;21_08398_ueberbauung_von_gleisen_und_stellplaetzen.md
21/8399;2017-03-21;2017-03-28;Sanierung des Philosophenturms und Anmietung von Ersatzflächen (4);Dr. Wieland Schinnenburg;FDP;7;12;2;True;True;52270;21_08399_sanierung_des_philosophenturms_und_anmietung_von_ersatzflaechen_4.md
21/8400;2017-03-21;2017-03-28;Sozialmonitoring-Bericht für das Jahr 2016;Franziska Grunwaldt;CDU;2;2;1;True;True;52323;21_08400_sozialmonitoring_bericht_fuer_das_jahr_2016.md
21/8401;2017-03-21;2017-03-28;Stand der Umsetzung des 25-Punkte-Plans – Allgemein und Finanzierung;"Cansu Özdemir; Christiane Schneider";Die Linke;7;15;3;True;True;52337;21_08401_stand_der_umsetzung_des_25_punkte_plans_allgemein_und_finanzierung.md
21/8402;2017-03-21;2017-03-28;Stand der Umsetzung des 25-Punkte-Plans (II) – Kinder und Jugend/Bildung;"Cansu Özdemir; Sabine Boeddinghaus; Christiane Schneider; Mehmet Yildiz";Die Linke;15;24;11;True;True;52338;21_08402_stand_der_umsetzung_des_25_punkte_plans_ii_kinder_und_jugend_bildung.md
21/8403;2017-03-21;2017-03-28;Stand der Umsetzung des 25-Punkte-Plans (III) – Stadtentwicklung/Wohnen/Gesundheit;"Cansu Özdemir; Deniz Celik; Christiane Schneider; Heike Sudmann";Die Linke;8;25;4;True;True;52339;21_08403_stand_der_umsetzung_des_25_punkte_plans_iii_stadtentwicklung_wohnen_gesundheit.md
21/8404;2017-03-21;2017-03-28;Stand der Umsetzung des 25-Punkte-Plans (IV) – Beteiligung/Arbeit/Sport;"Cansu Özdemir; Christiane Schneider; Mehmet Yildiz";Die Linke;9;19;4;True;True;52523;21_08404_stand_der_umsetzung_des_25_punkte_plans_iv_beteiligung_arbeit_sport.md
21/8405;2017-03-21;2017-03-28;Suizide und Suizidversuche in den Einrichtungen der Zentralen Erstaufnahme in Hamburg (V);Christiane Schneider;Die Linke;4;4;5;True;True;52269;21_08405_suizide_und_suizidversuche_in_den_einrichtungen_der_zentralen_erstaufnahme_in_hamburg_v.md
21/8406;2017-03-21;2017-03-28;Baumscheiben in der Fuhlsbüttler Straße (VI);"Dennis Thering; Stephan Gamm";CDU;6;8;10;True;True;52268;21_08406_baumscheiben_in_der_fuhlsbuettler_strasse_vi.md
