drucksache;datum_anfrage;datum_drucksache;titel;urheber;fraktionen;fragen;einzelfragen;seiten;format_erkannt;beantwortet;vorgang;datei
23/38;2025-03-27;2025-04-04;Zahlreiche Lombardium-Betrugsopfer warten seit Jahren auf Gerechtigkeit: Funktioniert der Rechtsstaat noch?;Richard Seelmaecker;CDU;6;9;2;True;True;83889;23_00038_zahlreiche_lombardium_betrugsopfer_warten_seit_jahren_auf_gerechtigkeit_funktioniert_der_rechtsstaat_.md
23/39;2025-03-28;2025-04-04;Werden Mehrfachtäter endlich polizeilich gesondert erfasst?;"Dennis Gladiator; Dennis Thering";CDU;5;5;2;True;True;83890;23_00039_werden_mehrfachtaeter_endlich_polizeilich_gesondert_erfasst.md
23/40;2025-03-28;2025-04-04;Maßnahmen in Bramfeld, Steilshoop und Farmsen-Berne;Sandro Kappe;CDU;22;27;6;True;True;83875;23_00040_massnahmen_in_bramfeld_steilshoop_und_farmsen_berne.md
23/41;2025-03-28;2025-04-04;Substitution im Justizvollzug;Richard Seelmaecker;CDU;7;11;23;True;True;83877;23_00041_substitution_im_justizvollzug.md
23/42;2025-03-31;2025-04-08;Nach dem Umbau des Rathausquartiers: Welchen Nutzen haben die Gastronomen?;David Erkalp;CDU;7;14;4;True;True;83904;23_00042_nach_dem_umbau_des_rathausquartiers_welchen_nutzen_haben_die_gastronomen.md
23/43;2025-03-31;2025-04-08;Handel mit Substitutionsmitteln unterbinden: Welche Vorgaben gelten für die Take-Home-Vergabe?;Richard Seelmaecker;CDU;11;16;4;True;True;83906;23_00043_handel_mit_substitutionsmitteln_unterbinden_welche_vorgaben_gelten_fuer_die_take_home_vergabe.md
23/44;2025-03-31;2025-04-08;Einholung externer Gutachten durch die Bezirke und Fachbehörden;André Trepoll;CDU;9;11;47;True;True;83907;23_00044_einholung_externer_gutachten_durch_die_bezirke_und_fachbehoerden.md
23/45;2025-03-31;2025-04-08;Zentrale Plattform für Baustellen in Hamburg;Sandro Kappe;CDU;22;32;11;True;True;83908;23_00045_zentrale_plattform_fuer_baustellen_in_hamburg.md
23/47;2025-04-01;2025-04-08;Und immer noch: Sofortige Kostentransparenz zum gescheiterten Verwaltungsneubau auf der Wandsbeker Zollinsel herstellen!;Ralf Niedmers;CDU;18;30;15;True;True;83912;23_00047_und_immer_noch_sofortige_kostentransparenz_zum_gescheiterten_verwaltungsneubau_auf_der_wandsbeker_zol.md
23/48;2025-04-01;2025-04-08;Rodungen in Eimsbüttel – was sind die Gründe?;Dirk Nockemann;AfD;4;5;1;True;True;83910;23_00048_rodungen_in_eimsbuettel_was_sind_die_gruende.md
23/49;2025-04-01;2025-04-08;Maßnahmen in Bramfeld, Steilshoop und Farmsen-Berne (II);Sandro Kappe;CDU;20;28;6;True;True;83905;23_00049_massnahmen_in_bramfeld_steilshoop_und_farmsen_berne_ii.md
23/51;2025-04-01;2025-04-09;Kita-System in Hamburg;Silke Seif;CDU;14;14;7;True;True;83909;23_00051_kita_system_in_hamburg.md
23/52;2025-04-01;2025-04-08;Arbeitsbedingungen bei der TEREG Gebäudedienste GmbH;David Stoop;Die Linke;14;15;6;True;True;83932;23_00052_arbeitsbedingungen_bei_der_tereg_gebaeudedienste_gmbh.md
23/53;2025-04-01;2025-04-08;Todesfälle im öffentlichen Raum;Olga Fritzsche;Die Linke;6;6;3;True;True;83911;23_00053_todesfaelle_im_oeffentlichen_raum.md
23/54;2025-04-01;2025-04-08;Rechtsextremismus-Verdacht gegen Hamburger Polizist*innen;Deniz Celik;Die Linke;15;27;7;True;True;83933;23_00054_rechtsextremismus_verdacht_gegen_hamburger_polizist_innen.md
23/55;2025-04-01;2025-04-08;Neuer IT-Dienstleister für Hamburgs Schulen?;Birgit Stöver;CDU;24;37;7;True;True;83928;23_00055_neuer_it_dienstleister_fuer_hamburgs_schulen.md
23/56;2025-04-01;2025-04-08;Sonderschulen;Birgit Stöver;CDU;35;50;24;True;True;83931;23_00056_sonderschulen.md
23/57;2025-04-01;2025-04-08;Ungleiche Vergütung: Streit um Tierschutzverträge in Hamburg;Sandro Kappe;CDU;18;20;4;True;True;83936;23_00057_ungleiche_verguetung_streit_um_tierschutzvertraege_in_hamburg.md
23/58;2025-04-01;2025-04-08;Maßnahmen in Bramfeld, Steilshoop und Farmsen-Berne (III);Sandro Kappe;CDU;20;34;12;True;True;83934;23_00058_massnahmen_in_bramfeld_steilshoop_und_farmsen_berne_iii.md
23/59;2025-04-02;2025-04-08;Illegale Straßenrennen in Hamburg: Was tut der Senat?;Richard Seelmaecker;CDU;13;15;3;True;True;83935;23_00059_illegale_strassenrennen_in_hamburg_was_tut_der_senat.md
23/60;2025-04-02;2025-04-08;Überlastung von Polizei und Feuerwehr: Entwicklung der Abordnungen in die Behörde für Inneres und Sport;Dennis Gladiator;CDU;17;28;8;True;True;83937;23_00060_ueberlastung_von_polizei_und_feuerwehr_entwicklung_der_abordnungen_in_die_behoerde_fuer_inneres_und_s.md
23/61;2025-04-02;2025-04-08;Brennende Fahrzeuge vor Santa Fu: Was haben die Ermittlungen ergeben?;Richard Seelmaecker;CDU;6;8;2;True;True;83938;23_00061_brennende_fahrzeuge_vor_santa_fu_was_haben_die_ermittlungen_ergeben.md
23/62;2025-04-02;2025-04-08;Tragischer Todesfall eines Patienten aus dem Maßregelvollzug;Richard Seelmaecker;CDU;13;19;5;True;True;83939;23_00062_tragischer_todesfall_eines_patienten_aus_dem_massregelvollzug.md
23/63;2025-04-02;2025-04-08;Wasserstoff in Hamburg – nur heiße Luft?;Richard Seelmaecker;CDU;16;20;4;True;True;84181;23_00063_wasserstoff_in_hamburg_nur_heisse_luft.md
23/64;2025-04-02;2025-04-08;„Rien ne va plus“, nichts geht mehr – defekte Fahrstühle und Rolltreppen in Harburg;André Trepoll;CDU;22;22;5;True;True;84183;23_00064_rien_ne_va_plus_nichts_geht_mehr_defekte_fahrstuehle_und_rolltreppen_in_harburg.md
23/65;2025-04-02;2025-04-08;Das „Jupiter“ vor dem Ende: wie geht es weiter?;Dr. Anke Frieling;CDU;20;30;7;True;True;83959;23_00065_das_jupiter_vor_dem_ende_wie_geht_es_weiter.md
23/66;2025-04-02;2025-04-08;Prüfverfahren zur Windenergiepotenzialfläche in der Rissener und Sülldorfer Feldmark – alles schon in trockenen Tüchern?;Dr. Anke Frieling;CDU;20;39;4;True;True;83960;23_00066_pruefverfahren_zur_windenergiepotenzialflaeche_in_der_rissener_und_suelldorfer_feldmark_alles_schon_i.md
23/67;2025-04-02;2025-04-08;Bekämpfung des illegalen Glücksspiels: Wie haben sich Verbundeinsätze, Ermittlungs- und Gerichtsverfahren entwickelt?;"Richard Seelmaecker; Dennis Gladiator";CDU;9;11;5;True;True;83963;23_00067_bekaempfung_des_illegalen_gluecksspiels_wie_haben_sich_verbundeinsaetze_ermittlungs_und_gerichtsverfa.md
23/68;2025-04-02;2025-04-08;Hygiene Institut und HVZ – Verträge gekündigt, Kunden verwirrt, wie geht es weiter?;David Stoop;Die Linke;10;15;3;True;True;83957;23_00068_hygiene_institut_und_hvz_vertraege_gekuendigt_kunden_verwirrt_wie_geht_es_weiter.md
23/69;2025-04-02;2025-04-08;Party zur Eröffnung der Mega-Mall in der Hafencity – geraten Todesopfer in Vergessenheit?;"David Stoop; Kay Jäger";Die Linke;6;10;3;True;True;83958;23_00069_party_zur_eroeffnung_der_mega_mall_in_der_hafencity_geraten_todesopfer_in_vergessenheit.md
23/70;2025-04-02;2025-04-08;Straßensanierungen im Wahlkreis 10 (Alsterdorf, Fuhlsbüttel, Groß Borstel, Klein Borstel, Langenhorn und Ohlsdorf);Richard Seelmaecker;CDU;4;7;3;True;True;83961;23_00070_strassensanierungen_im_wahlkreis_10_alsterdorf_fuhlsbuettel_gross_borstel_klein_borstel_langenhorn_un.md
23/73;2025-04-03;2025-04-11;Sind Jagdscheinprüfungen ein neuer Tourismusmagnet in Hamburg?;Stephan Jersch;Die Linke;13;17;4;True;True;83962;23_00073_sind_jagdscheinpruefungen_ein_neuer_tourismusmagnet_in_hamburg.md
23/74;2025-04-03;2025-04-11;1. U1/U5 Stephansplatz – weshalb soll jetzt möglich sein, was vor Jahren noch an „unüberwindbaren Hindernissen“ scheiterte? 2. Veränderungen der Fahrgastprognosen auf der U5?;Heike Sudmann;Die Linke;6;8;3;True;True;83965;23_00074_1_u1_u5_stephansplatz_weshalb_soll_jetzt_moeglich_sein_was_vor_jahren_noch_an_unueberwindbaren_hinder.md
23/75;2025-04-03;2025-04-11;Verkehrschaos auf der Elbinsel Wilhelmsburg mit Ansage: Was macht der Senat, um den Schwerlastverkehr umgehend nicht mehr mitten durch Wilhelmsburg und Wohngebiete zu leiten?;"Heike Sudmann; Kay Jäger";Die Linke;16;20;7;True;True;83966;23_00075_verkehrschaos_auf_der_elbinsel_wilhelmsburg_mit_ansage_was_macht_der_senat_um_den_schwerlastverkehr_u.md
23/76;2025-04-03;2025-04-11;Überfüllte Gefängnisse und fehlendes Personal – wie sah es im 1. Quartal 2025 aus?;Richard Seelmaecker;CDU;14;19;12;True;True;83967;23_00076_ueberfuellte_gefaengnisse_und_fehlendes_personal_wie_sah_es_im_1_quartal_2025_aus.md
23/77;2025-04-03;2025-04-11;Lebenswertes Harburg – was läuft in Wilstorf und dem Juteviertel schief?;Birgit Stöver;CDU;32;37;9;True;True;83964;23_00077_lebenswertes_harburg_was_laeuft_in_wilstorf_und_dem_juteviertel_schief.md
23/78;2025-04-04;2025-04-11;Zwang ohne Wirkung – warum die Photovoltaikpflicht Sanierungen verhindert und an der Realität vorbeigeht;Sandro Kappe;CDU;14;17;4;True;True;83970;23_00078_zwang_ohne_wirkung_warum_die_photovoltaikpflicht_sanierungen_verhindert_und_an_der_realitaet_vorbeige.md
23/79;2025-04-04;2025-04-11;Strafzettelflut schürt Anwohnerwut – was hat es mit den Berichten über die ungewöhnliche Häufung von Parkraumkontrollen im Elstorfer Ring auf sich?;André Trepoll;CDU;15;21;3;True;True;83969;23_00079_strafzettelflut_schuert_anwohnerwut_was_hat_es_mit_den_berichten_ueber_die_ungewoehnliche_haeufung_vo.md
23/80;2025-04-04;2025-04-11;Personalausstattung und Herausforderungen im Wohnraumschutz;Sandro Kappe;CDU;23;31;7;True;True;83971;23_00080_personalausstattung_und_herausforderungen_im_wohnraumschutz.md
23/81;2025-04-04;2025-04-11;Bedarfsplanung – Niederlassungsmöglichkeiten – Strukturfonds;Antje Hebel;AfD;11;11;4;True;True;83972;23_00081_bedarfsplanung_niederlassungsmoeglichkeiten_strukturfonds.md
23/82;2025-04-04;2025-04-25;Generalistische Pflegeausbildung – vorläufiges Fazit nach Einführung im Jahr 2020;Antje Hebel;AfD;11;11;7;True;True;83973;23_00082_generalistische_pflegeausbildung_vorlaeufiges_fazit_nach_einfuehrung_im_jahr_2020.md
23/83;2025-04-04;2025-04-11;Tatort Harburg: Massenschlägerei im Phoenix-Viertel;"André Trepoll; Birgit Stöver";CDU;8;13;3;True;True;83974;23_00083_tatort_harburg_massenschlaegerei_im_phoenix_viertel.md
23/84;2025-04-04;2025-04-11;Wie ist es um den Pflegezustand und baulichen Zustand der öffentlichen Spielplätze im Bezirk Eimsbüttel bestellt? An welchen Standorten sind Sanierungen und sind neue Spielplatzflächen geplant?;"Silke Seif; Sascha Greshake; Philipp Heißner";CDU;17;40;6;True;True;83975;23_00084_wie_ist_es_um_den_pflegezustand_und_baulichen_zustand_der_oeffentlichen_spielplaetze_im_bezirk_eimsbu.md
23/88;2025-04-07;2025-04-15;Einführung eines „Dublin-Zentrums“ in Hamburg;Dr. Carola Ensslen;Die Linke;24;30;6;True;True;83977;23_00088_einfuehrung_eines_dublin_zentrums_in_hamburg.md
23/89;2025-04-07;2025-04-15;Atomtransporte durch Hamburg;"Stephan Jersch; Kay Jäger";Die Linke;20;22;11;True;True;83978;23_00089_atomtransporte_durch_hamburg.md
23/90;2025-04-07;2025-04-15;Flüchtlingsunterbringung in Harburg: Wie ist der aktuelle Plan für die Container zur Unterbringung von Geflüchteten in der Jutestraße?;Birgit Stöver;CDU;13;18;3;True;True;83979;23_00090_fluechtlingsunterbringung_in_harburg_wie_ist_der_aktuelle_plan_fuer_die_container_zur_unterbringung_v.md
23/91;2025-04-07;2025-04-15;Status quo Anzahl, Bearbeitungsfristen und Prüfung der Bauanträge in Hamburg im Jahr 2025?;Dr. Anke Frieling;CDU;13;23;7;True;True;83982;23_00091_status_quo_anzahl_bearbeitungsfristen_und_pruefung_der_bauantraege_in_hamburg_im_jahr_2025.md
23/92;2025-04-07;2025-04-15;Trumps Zollhammer – was kommt auf Hamburg zu?;Prof. Dr. Götz Wiese;CDU;9;14;3;True;True;83990;23_00092_trumps_zollhammer_was_kommt_auf_hamburg_zu.md
23/93;2025-04-07;2025-04-15;Wie ist der aktuelle Sachstand bei der Umsetzung des Pakts zur Planungs-, Genehmigungs- und Umsetzungsbeschleunigung zwischen Bund und Hamburg?;Prof. Dr. Götz Wiese;CDU;16;17;4;True;True;83991;23_00093_wie_ist_der_aktuelle_sachstand_bei_der_umsetzung_des_pakts_zur_planungs_genehmigungs_und_umsetzungsbe.md
23/94;2025-04-07;2025-04-15;Elbtower: Absetzbewegungen bei den benachbarten Bahnbauwerken und beim Naturkundemuseum?;"Heike Sudmann; Marco Hosemann";Die Linke;20;24;5;True;True;83992;23_00094_elbtower_absetzbewegungen_bei_den_benachbarten_bahnbauwerken_und_beim_naturkundemuseum.md
23/95;2025-04-07;2025-04-15;US-Generalkonsulat in Hamburg vor Schließung – wie steht es um den Konsularplatz Hamburg?;"Prof. Dr. Götz Wiese; Prof. Dr. Michael Becken";CDU;11;16;4;True;True;83994;23_00095_us_generalkonsulat_in_hamburg_vor_schliessung_wie_steht_es_um_den_konsularplatz_hamburg.md
23/100;2025-04-08;2025-04-15;Wie bewertet der Senat die Instrumente des Baulandmobilisierungsgesetzes: sektorale Bebauungsplanverfahren und Befreiungen?;"Markus Kranig; Dr. Anke Frieling";CDU;21;32;6;True;True;84001;23_00100_wie_bewertet_der_senat_die_instrumente_des_baulandmobilisierungsgesetzes_sektorale_bebauungsplanverfa.md
23/101;2025-04-08;2025-04-15;Unregelmäßige Öffnungszeiten des Wildgeheges Klövensteen;Eugen Seiler;AfD;7;11;3;True;True;84002;23_00101_unregelmaessige_oeffnungszeiten_des_wildgeheges_kloevensteen.md
23/102;2025-04-08;2025-04-15;Detaillierte Fragen zur aktuellen Bevölkerungsstruktur in Hamburg;Eugen Seiler;AfD;6;6;2;True;True;84003;23_00102_detaillierte_fragen_zur_aktuellen_bevoelkerungsstruktur_in_hamburg.md
23/96;2025-04-08;2025-04-15;Erneuerung Eisenbahnüberführungen Alstertalbahn – S-Bahn-Strecke der Line S1 zwischen den Stationen „Ohlsdorf“ und „Wellingsbüttel“;"Richard Seelmaecker; Dennis Thering";CDU;6;8;2;True;True;83995;23_00096_erneuerung_eisenbahnueberfuehrungen_alstertalbahn_s_bahn_strecke_der_line_s1_zwischen_den_stationen_o.md
23/97;2025-04-08;2025-04-15;Maßnahmen in Bramfeld, Steilshoop und Farmsen-Berne (IV);Sandro Kappe;CDU;21;30;15;True;True;84065;23_00097_massnahmen_in_bramfeld_steilshoop_und_farmsen_berne_iv.md
23/98;2025-04-08;2025-04-15;Bessere Chancen für Obdachlose – Senat beendet das Winternotprogramm 2024/2025 trotz Minusgraden und setzt längst versprochene Hilfsangebote immer noch nicht um;Andreas Grutzeck;CDU;18;21;6;True;True;83998;23_00098_bessere_chancen_fuer_obdachlose_senat_beendet_das_winternotprogramm_2024_2025_trotz_minusgraden_und_s.md
23/99;2025-04-08;2025-04-15;Warum unternimmt der rot-grüne Senat zu wenig, um Sozialleistungsbetrug zu erschweren?;Andreas Grutzeck;CDU;9;11;5;True;True;83999;23_00099_warum_unternimmt_der_rot_gruene_senat_zu_wenig_um_sozialleistungsbetrug_zu_erschweren.md
23/112;2025-04-09;2025-04-15;Gewalt gegen Personal in Krankenhäusern im Jahr 2024;Dirk Nockemann;AfD;9;10;5;True;True;83983;23_00112_gewalt_gegen_personal_in_krankenhaeusern_im_jahr_2024.md
23/113;2025-04-09;2025-04-15;Massenschlägerei im Phoenix-Viertel: Polizei muss mit Maschinenpistolen eingreifen – schwerer Landfriedensbruch und Verletzte mitten in Hamburg;Dirk Nockemann;AfD;30;32;5;True;True;83984;23_00113_massenschlaegerei_im_phoenix_viertel_polizei_muss_mit_maschinenpistolen_eingreifen_schwerer_landfried.md
23/117;2025-04-09;2025-04-15;Mehr als sechs Jahre Zentralstelle Staatsschutz bei der Generalstaatsanwaltschaft: Was hat sich in der Terrorismusbekämpfung getan?;"Richard Seelmaecker; Dennis Gladiator";CDU;12;15;4;True;True;83985;23_00117_mehr_als_sechs_jahre_zentralstelle_staatsschutz_bei_der_generalstaatsanwaltschaft_was_hat_sich_in_der.md
23/118;2025-04-09;2025-04-15;Stand der Zulassungszahlen im 1. Quartal 2025;"Ralf Niedmers; Philipp Heißner";CDU;10;10;4;True;True;83986;23_00118_stand_der_zulassungszahlen_im_1_quartal_2025.md
23/126;2025-04-10;2025-04-17;Werden Mehrfachtäter endlich polizeilich gesondert erfasst? (II);"Dennis Gladiator; Dennis Thering";CDU;4;4;2;True;True;84010;23_00126_werden_mehrfachtaeter_endlich_polizeilich_gesondert_erfasst_ii.md
23/127;2025-04-10;2025-04-17;Verbesserung der Verkehrsanbindung im Norden von Langenhorn durch Taktverdichtung, On-Demand-Angebote und Ausbau der Leihradsysteme;"Richard Seelmaecker; Philipp Heißner";CDU;10;14;3;True;True;84012;23_00127_verbesserung_der_verkehrsanbindung_im_norden_von_langenhorn_durch_taktverdichtung_on_demand_angebote_.md
23/135;2025-04-10;2025-04-17;Neues Auswahlverfahren beim Antisemitismusbeauftragten – wie geht es weiter?;Dr. Sabine Ritter;Die Linke;5;7;2;True;True;84013;23_00135_neues_auswahlverfahren_beim_antisemitismusbeauftragten_wie_geht_es_weiter.md
23/136;2025-04-10;2025-04-17;Ausreise und Abschiebungen in Hamburg im 1. Quartal 2025;Dr. Carola Ensslen;Die Linke;18;21;11;True;True;84004;23_00136_ausreise_und_abschiebungen_in_hamburg_im_1_quartal_2025.md
23/137;2025-04-10;2025-04-17;Von der Schulbank in den Flieger – Abschiebungen von Kindern aus Hamburg im 1. Quartal 2025;Dr. Carola Ensslen;Die Linke;7;7;3;True;True;84014;23_00137_von_der_schulbank_in_den_flieger_abschiebungen_von_kindern_aus_hamburg_im_1_quartal_2025.md
23/138;2025-04-10;2025-04-17;Baumfällung ohne Genehmigung und ihre Konsequenzen;Stephan Jersch;Die Linke;6;6;2;True;True;84005;23_00138_baumfaellung_ohne_genehmigung_und_ihre_konsequenzen.md
23/139;2025-04-10;2025-04-17;Hasskriminalität in Hamburg (1. Quartal 2025);Deniz Celik;Die Linke;3;3;9;True;True;84006;23_00139_hasskriminalitaet_in_hamburg_1_quartal_2025.md
23/140;2025-04-10;2025-04-17;Straf- und Gewalttaten mit rassistischem, rechtsextremistischem und/oder ausländerfeindlichem Hintergrund in Hamburg (1. Quartal 2025);Deniz Celik;Die Linke;13;14;25;True;True;84007;23_00140_straf_und_gewalttaten_mit_rassistischem_rechtsextremistischem_und_oder_auslaenderfeindlichem_hintergr.md
23/141;2025-04-10;2025-04-17;Rechtswidrige Polizeigewalt – Körperverletzung im Amt (1. Quartal 2025);Deniz Celik;Die Linke;12;12;5;True;True;84008;23_00141_rechtswidrige_polizeigewalt_koerperverletzung_im_amt_1_quartal_2025.md
23/142;2025-04-10;2025-04-17;Task Force gegen vermeintliche Drogendealer (1. Quartal 2025);Deniz Celik;Die Linke;9;11;3;True;True;84018;23_00142_task_force_gegen_vermeintliche_drogendealer_1_quartal_2025.md
23/143;2025-04-10;2025-04-17;Straf- und Gewalttaten mit rassistischem, rechtsextremistischem und/oder ausländerfeindlichem Hintergrund in Hamburg 2024;Deniz Celik;Die Linke;4;4;23;True;True;84015;23_00143_straf_und_gewalttaten_mit_rassistischem_rechtsextremistischem_und_oder_auslaenderfeindlichem_hintergr.md
23/144;2025-04-10;2025-04-17;Hasskriminalität in Hamburg (2024);Deniz Celik;Die Linke;4;5;58;True;True;84017;23_00144_hasskriminalitaet_in_hamburg_2024.md
23/145;2025-04-10;2025-04-17;Von Loops und Hypes – was hat der Senat für den Personen-Hyperloop vereinbart?;Heike Sudmann;Die Linke;12;17;3;True;True;84022;23_00145_von_loops_und_hypes_was_hat_der_senat_fuer_den_personen_hyperloop_vereinbart.md
23/146;2025-04-10;2025-04-17;Elbuferwanderweg und Klövensteen: Intransparente Planungen in Altona;Dr. Anke Frieling;CDU;19;30;6;True;True;84050;23_00146_elbuferwanderweg_und_kloevensteen_intransparente_planungen_in_altona.md
23/147;2025-04-10;2025-04-17;Baustelle Elbchaussee – was geschieht wann?;Dr. Anke Frieling;CDU;12;15;3;True;True;84051;23_00147_baustelle_elbchaussee_was_geschieht_wann.md
23/148;2025-04-10;2025-04-17;Stand der illegalen Autorennen und Autoposer in Hamburg;Markus Kranig;CDU;18;17;5;True;True;84009;23_00148_stand_der_illegalen_autorennen_und_autoposer_in_hamburg.md
23/149;2025-04-10;2025-04-17;Fehlende Straßenbaustellenübersicht im Wandsbeker Kerngebiet (Wandsbek, Marienthal, Jenfeld, Tonndorf, Eilbek) 2. Quartal 2025;Ralf Niedmers;CDU;11;20;11;True;True;84011;23_00149_fehlende_strassenbaustellenuebersicht_im_wandsbeker_kerngebiet_wandsbek_marienthal_jenfeld_tonndorf_e.md
23/150;2025-04-10;2025-04-17;Krise bei HAMBURG WASSER: Projekt VERA II wird zum Millionengrab;Sandro Kappe;CDU;29;37;7;True;True;84016;23_00150_krise_bei_hamburg_wasser_projekt_vera_ii_wird_zum_millionengrab.md
23/157;2025-04-10;2025-04-17;Forderung nach grüneren Schulhöfen und Schulgeländen – welche Maßnahmen laufen in Hamburg?;"Dr. Sabine Ritter; Stephan Jersch";Die Linke;11;15;4;True;True;84053;23_00157_forderung_nach_grueneren_schulhoefen_und_schulgelaenden_welche_massnahmen_laufen_in_hamburg.md
23/163;2025-04-11;2025-04-17;Fernwärme in Hamburg: Preissteigerung um über 30 Prozent sorgt für soziale und wirtschaftliche Folgen für Haushalte und Unternehmen;"Markus Kranig; Sandro Kappe";CDU;19;23;7;True;True;84019;23_00163_fernwaerme_in_hamburg_preissteigerung_um_ueber_30_prozent_sorgt_fuer_soziale_und_wirtschaftliche_folg.md
23/164;2025-04-11;2025-04-17;Maßnahmen in Bramfeld, Steilshoop und Farmsen-Berne (V);Sandro Kappe;CDU;22;28;6;True;True;84020;23_00164_massnahmen_in_bramfeld_steilshoop_und_farmsen_berne_v.md
23/165;2025-04-11;2025-04-17;Liquiditätsmanagement innerhalb des Konzerns Hamburg im 1. Quartal 2025;Thilo Kleibauer;CDU;9;9;6;True;True;84023;23_00165_liquiditaetsmanagement_innerhalb_des_konzerns_hamburg_im_1_quartal_2025.md
23/166;2025-04-11;2025-04-17;Anmeldungen zur Vor- und Grundschule im Schuljahr 2025/2026;Birgit Stöver;CDU;22;28;13;True;True;84024;23_00166_anmeldungen_zur_vor_und_grundschule_im_schuljahr_2025_2026.md
23/167;2025-04-11;2025-04-17;Keine öffentliche Toilette mehr am Elbstrand in Blankenese?;Dr. Anke Frieling;CDU;13;23;3;True;True;84027;23_00167_keine_oeffentliche_toilette_mehr_am_elbstrand_in_blankenese.md
23/168;2025-04-11;2025-04-17;Wie steht es um die Infrastrukturmaßnahmen für Hamburgs Kleingartenvereine (KGV) oder: Geht in Hamburgs Kleingartenvereinen das Licht aus?;Stephan Jersch;Die Linke;22;32;5;True;True;84028;23_00168_wie_steht_es_um_die_infrastrukturmassnahmen_fuer_hamburgs_kleingartenvereine_kgv_oder_geht_in_hamburg.md
23/158;2025-04-14;2025-04-22;Messerattacke an Bushaltestelle am Schiffbeker Weg – Fahndung, Täterbeschreibung und Maßnahmen der Sicherheitsbehörden;"Dirk Nockemann; Benjamin Mennerich";AfD;22;24;4;True;True;84025;23_00158_messerattacke_an_bushaltestelle_am_schiffbeker_weg_fahndung_taeterbeschreibung_und_massnahmen_der_sic.md
