drucksache;datum_anfrage;datum_drucksache;titel;urheber;fraktionen;fragen;einzelfragen;seiten;format_erkannt;beantwortet;vorgang;datei
23/10;2025-03-26;2025-04-01;Bekämpfung des Drogenschmuggels im Hamburger Hafen;Dirk Nockemann;AfD;15;16;4;True;True;83866;23_00010_bekaempfung_des_drogenschmuggels_im_hamburger_hafen.md
23/11;2025-03-26;2025-04-01;Verkehrsführung an der Straße Neuer Jungfernstieg vor dem Hotel „Vier Jahreszeiten“ – wurde das Hotel vergessen?;Dirk Nockemann;AfD;11;17;2;True;True;83867;23_00011_verkehrsfuehrung_an_der_strasse_neuer_jungfernstieg_vor_dem_hotel_vier_jahreszeiten_wurde_das_hotel_v.md
23/27;2025-03-27;2025-04-04;Probleme auf dem Alsterwanderweg?;Richard Seelmaecker;CDU;4;5;2;True;True;83885;23_00027_probleme_auf_dem_alsterwanderweg.md
23/28;2025-03-27;2025-04-04;Unfälle im Gleisbett – tut der rot-grüne Senat genug?;Richard Seelmaecker;CDU;7;7;2;True;True;83886;23_00028_unfaelle_im_gleisbett_tut_der_rot_gruene_senat_genug.md
23/29;2025-03-27;2025-04-04;Beklebte Fenster bei Hamburgs Bussen?;Richard Seelmaecker;CDU;11;15;3;True;True;83887;23_00029_beklebte_fenster_bei_hamburgs_bussen.md
23/30;2025-03-27;2025-04-04;Suchtkranke, Spritzen, Exkremente – Hilfe für Anwohner in St. Georg verzweifelt gesucht;Andreas Grutzeck;CDU;9;13;3;True;True;83868;23_00030_suchtkranke_spritzen_exkremente_hilfe_fuer_anwohner_in_st_georg_verzweifelt_gesucht.md
23/31;2025-03-27;2025-04-04;Damit die Integration gelingt – geplante Unterkunft für pflegebedürftige Flüchtlinge in St. Georg;Andreas Grutzeck;CDU;13;14;5;True;True;83869;23_00031_damit_die_integration_gelingt_geplante_unterkunft_fuer_pflegebeduerftige_fluechtlinge_in_st_georg.md
23/32;2025-03-27;2025-04-04;Bessere Chancen für Obdachlose – wie ist es um die längst versprochene Neukonzeption Straßensozialarbeit bestellt?;Andreas Grutzeck;CDU;26;32;6;True;True;83873;23_00032_bessere_chancen_fuer_obdachlose_wie_ist_es_um_die_laengst_versprochene_neukonzeption_strassensozialar.md
23/33;2025-03-27;2025-04-04;Bessere Chancen für Obdachlose – wie geht es mit „Housing first“ weiter?;Andreas Grutzeck;CDU;7;8;3;True;True;83874;23_00033_bessere_chancen_fuer_obdachlose_wie_geht_es_mit_housing_first_weiter.md
23/34;2025-03-27;2025-04-04;Stillstand statt Sanierung: Wann geht es beim Katharinenhof weiter?;Dr. Anke Frieling;CDU;5;10;2;True;True;83888;23_00034_stillstand_statt_sanierung_wann_geht_es_beim_katharinenhof_weiter.md
23/35;2025-03-27;2025-04-04;Sicherheitslage an der S-Bahn-Station Königstraße und Umgebung – Gefahr für Anwohnende und zukünftige Schülerinnen und Schüler?;Dr. Anke Frieling;CDU;7;8;3;True;True;83881;23_00035_sicherheitslage_an_der_s_bahn_station_koenigstrasse_und_umgebung_gefahr_fuer_anwohnende_und_zukuenfti.md
23/36;2025-03-27;2025-04-04;Fernwärmetrasse in Altona: Warum wird eine frisch sanierte Straße wieder aufgerissen?;Dr. Anke Frieling;CDU;7;8;2;True;True;83883;23_00036_fernwaermetrasse_in_altona_warum_wird_eine_frisch_sanierte_strasse_wieder_aufgerissen.md
23/37;2025-03-27;2025-04-04;Dauerbaustelle Ottensen: Denkt jemand an den Einzelhandel?;Dr. Anke Frieling;CDU;9;13;3;True;True;83884;23_00037_dauerbaustelle_ottensen_denkt_jemand_an_den_einzelhandel.md
